record_type,key,count,pct_of_active_groups
cost_gap_distribution,1,86.0,90.52631578947368
cost_gap_distribution,2,7.0,7.368421052631579
cost_gap_distribution,3,1.0,1.0526315789473684
cost_gap_distribution,4,1.0,1.0526315789473684
min_cost_distribution,1,64.0,67.36842105263158
min_cost_distribution,2,24.0,25.263157894736842
min_cost_distribution,3,5.0,5.2631578947368425
min_cost_distribution,4,1.0,1.0526315789473684
min_cost_distribution,5,1.0,1.0526315789473684
max_cost_distribution,2,60.0,63.1578947368421
max_cost_distribution,3,23.0,24.210526315789473
max_cost_distribution,4,8.0,8.421052631578947
max_cost_distribution,5,2.0,2.1052631578947367
max_cost_distribution,6,2.0,2.1052631578947367
cost_contains_distribution,1,64.0,67.36842105263158
cost_contains_distribution,2,85.0,89.47368421052632
cost_contains_distribution,3,28.0,29.473684210526315
cost_contains_distribution,4,10.0,10.526315789473685
cost_contains_distribution,5,3.0,3.1578947368421053
cost_contains_distribution,6,2.0,2.1052631578947367
cost_pair_pattern,1x1|2x7,12.0,12.631578947368421
cost_pair_pattern,1x3|2x5,11.0,11.578947368421053
cost_pair_pattern,1x5|2x3,10.0,10.526315789473685
cost_pair_pattern,1x7|2x1,10.0,10.526315789473685
cost_pair_pattern,2x7|3x1,6.0,6.315789473684211
cost_pair_pattern,1x2|2x6,5.0,5.2631578947368425
cost_pair_pattern,1x6|2x2,5.0,5.2631578947368425
cost_pair_pattern,1x4|2x4,3.0,3.1578947368421053
cost_pair_pattern,3x6|4x2,3.0,3.1578947368421053
cost_pair_pattern,2x3|3x5,3.0,3.1578947368421053
cost_pair_pattern,2x6|3x2,3.0,3.1578947368421053
cost_pair_pattern,2x5|3x3,2.0,2.1052631578947367
cost_pair_pattern,2x1|3x7,2.0,2.1052631578947367
cost_pair_pattern,1x1|5x4,1.0,1.0526315789473684
cost_pair_pattern,1x2|2x1,1.0,1.0526315789473684
cost_pair_pattern,2x2|4x3,1.0,1.0526315789473684
cost_pair_pattern,1x1|2x1|3x6,1.0,1.0526315789473684
cost_pair_pattern,3x2|4x1|6x4,1.0,1.0526315789473684
cost_pair_pattern,2x5|4x3,1.0,1.0526315789473684
cost_pair_pattern,2x1|4x7,1.0,1.0526315789473684
cost_pair_pattern,1x2|2x5,1.0,1.0526315789473684
cost_pair_pattern,2x7|4x1,1.0,1.0526315789473684
cost_pair_pattern,1x6|3x2,1.0,1.0526315789473684
cost_pair_pattern,1x1|2x3,1.0,1.0526315789473684
cost_pair_pattern,1x1|3x7,1.0,1.0526315789473684
cost_pair_pattern,2x3|3x2,1.0,1.0526315789473684
cost_pair_pattern,2x2|3x6,1.0,1.0526315789473684
cost_pair_pattern,1x5|2x2,1.0,1.0526315789473684
cost_pair_pattern,5x3|6x5,1.0,1.0526315789473684
cost_pair_pattern,2x3|3x3,1.0,1.0526315789473684
cost_pair_pattern,3x2|4x3,1.0,1.0526315789473684
cost_pair_pattern,4x6|5x2,1.0,1.0526315789473684
cost_pair_pattern,2x6|3x1,1.0,1.0526315789473684
summary,active_groups,95.0,100.0
summary,mean_cost_gap,1.1263,
summary,median_cost_gap,1.0,
summary,max_cost_gap,4.0,
summary,distinct_cost_pair_patterns,33.0,
