group_id,uid,data_source,n_efficient,n_inefficient,cost_min,cost_max,cost_gap,logical_search_batches_correct
0:14222,14222,nq,1,7,1,2,1,1;2;2;2;2;2;2;2
0:158926,158926,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
2:4012,4012,nq,2,6,1,2,1,1;1;2;2;2;2;2;2
2:89152,89152,hotpotqa,1,4,1,5,4,1;5;5;5;5
4:47706,47706,nq,2,1,1,2,1,1;1;2
5:25122,25122,nq,4,4,1,2,1,1;1;1;1;2;2;2;2
6:140534,140534,hotpotqa,3,5,1,2,1,1;1;1;2;2;2;2;2
7:88311,88311,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
8:6033,6033,nq,3,5,1,2,1,1;1;1;2;2;2;2;2
9:161009,161009,hotpotqa,5,3,2,3,1,2;2;2;2;2;3;3;3
10:86554,86554,hotpotqa,6,2,3,4,1,3;3;3;3;3;3;4;4
11:86231,86231,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
13:87934,87934,hotpotqa,1,7,2,3,1,2;3;3;3;3;3;3;3
15:157986,157986,hotpotqa,3,5,2,3,1,2;2;2;3;3;3;3;3
18:154493,154493,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
20:151982,151982,hotpotqa,2,3,2,4,2,2;2;4;4;4
23:151066,151066,hotpotqa,7,1,2,3,1,2;2;2;2;2;2;2;3
24:160806,160806,hotpotqa,1,6,1,3,2,1;2;3;3;3;3;3;3
24:85613,85613,hotpotqa,6,2,1,2,1,1;1;1;1;1;1;2;2
25:60769,60769,nq,5,3,1,2,1,1;1;1;1;1;2;2;2
26:90350,90350,hotpotqa,2,4,3,6,3,3;3;4;6;6;6;6
27:151441,151441,hotpotqa,3,5,2,3,1,2;2;2;3;3;3;3;3
27:158484,158484,hotpotqa,1,7,1,2,1,1;2;2;2;2;2;2;2
29:61638,61638,nq,7,1,1,2,1,1;1;1;1;1;1;1;2
30:103422,103422,hotpotqa,5,3,2,4,2,2;2;2;2;2;4;4;4
30:154346,154346,hotpotqa,4,4,1,2,1,1;1;1;1;2;2;2;2
32:158837,158837,hotpotqa,7,1,1,2,1,1;1;1;1;1;1;1;2
33:80235,80235,hotpotqa,5,3,1,2,1,1;1;1;1;1;2;2;2
34:142018,142018,hotpotqa,5,3,1,2,1,1;1;1;1;1;2;2;2
34:155791,155791,hotpotqa,1,7,2,4,2,2;4;4;4;4;4;4;4
38:47413,47413,nq,7,1,1,2,1,1;1;1;1;1;1;1;2
