cost_pattern,n_groups,pct_groups
1x1|2x7,12,12.6316
1x3|2x5,11,11.5789
1x5|2x3,10,10.5263
1x7|2x1,10,10.5263
2x7|3x1,6,6.3158
1x2|2x6,5,5.2632
1x6|2x2,5,5.2632
1x4|2x4,3,3.1579
3x6|4x2,3,3.1579
2x3|3x5,3,3.1579
2x6|3x2,3,3.1579
2x5|3x3,2,2.1053
2x1|3x7,2,2.1053
1x1|5x4,1,1.0526
1x2|2x1,1,1.0526
2x2|4x3,1,1.0526
1x1|2x1|3x6,1,1.0526
3x2|4x1|6x4,1,1.0526
2x5|4x3,1,1.0526
2x1|4x7,1,1.0526
1x2|2x5,1,1.0526
2x7|4x1,1,1.0526
1x6|3x2,1,1.0526
1x1|2x3,1,1.0526
1x1|3x7,1,1.0526
2x3|3x2,1,1.0526
2x2|3x6,1,1.0526
1x5|2x2,1,1.0526
5x3|6x5,1,1.0526
2x3|3x3,1,1.0526
3x2|4x3,1,1.0526
4x6|5x2,1,1.0526
2x6|3x1,1,1.0526
