global_step,call_index,n_groups,baseline_kept,new_kept,n_active
61,0,160,2,4,2
61,1,160,5,5,0
61,2,160,3,4,2
61,3,160,2,2,0
61,4,160,2,2,1
61,5,160,5,6,1
61,6,160,1,2,1
61,7,160,1,2,1
61,8,160,2,3,1
61,9,160,3,4,1
61,10,160,1,2,1
61,11,160,3,4,1
61,12,160,3,3,0
62,13,160,3,4,1
62,14,160,2,2,0
62,15,160,2,3,1
62,16,160,1,1,0
62,17,160,3,3,0
62,18,160,4,5,1
62,19,160,3,3,0
62,20,160,4,4,1
62,21,160,1,1,0
62,22,160,3,3,0
62,23,160,2,3,1
62,24,160,1,3,2
62,25,160,2,3,1
62,26,160,4,4,1
63,27,160,0,2,2
63,28,160,4,4,0
63,29,160,1,2,1
63,30,160,2,4,2
63,31,160,3,3,0
63,32,160,2,3,1
63,33,160,3,4,1
63,34,160,3,5,2
63,35,160,5,5,0
63,36,160,2,2,0
63,37,160,2,2,0
63,38,160,3,4,1
63,39,160,5,9,5
64,40,160,4,6,2
64,41,160,3,6,3
64,42,160,4,4,0
64,43,160,4,6,2
64,44,160,1,4,3
64,45,160,4,4,0
64,46,160,4,5,1
64,47,160,6,6,0
64,48,160,4,4,0
65,49,160,1,3,2
65,50,160,3,3,0
65,51,160,2,3,1
65,52,160,2,2,0
65,53,160,4,5,1
65,54,160,3,3,0
65,55,160,2,4,3
65,56,160,1,3,2
65,57,160,2,2,0
65,58,160,1,1,0
65,59,160,4,4,0
65,60,160,4,5,1
65,61,160,4,5,1
66,62,160,3,3,0
66,63,160,1,1,1
66,64,160,6,6,0
66,65,160,3,3,0
66,66,160,3,3,0
66,67,160,2,4,2
66,68,160,1,2,1
66,69,160,3,3,0
66,70,160,2,3,1
66,71,160,1,1,0
66,72,160,2,4,2
66,73,160,4,5,1
66,74,160,3,4,1
67,75,160,3,4,1
67,76,160,2,3,1
67,77,160,3,3,0
67,78,160,2,2,0
67,79,160,1,1,0
67,80,160,3,4,1
67,81,160,2,2,0
67,82,160,4,5,1
67,83,160,3,3,0
67,84,160,5,5,0
67,85,160,2,2,1
67,86,160,6,8,3
68,87,160,2,2,0
68,88,160,3,5,2
68,89,160,2,3,1
68,90,160,5,6,1
68,91,160,5,7,2
68,92,160,6,6,0
68,93,160,3,3,0
68,94,160,7,8,2
69,95,160,4,4,0
69,96,160,3,3,1
69,97,160,3,5,2
69,98,160,1,1,0
69,99,160,2,2,0
69,100,160,3,5,2
69,101,160,4,4,0
69,102,160,5,5,0
69,103,160,3,3,0
69,104,160,5,5,0
70,105,160,4,4,0
70,106,160,4,4,0
70,107,160,8,8,0
70,108,160,2,6,4
70,109,160,2,2,0
70,110,160,2,2,0
70,111,160,3,3,0
70,112,160,1,1,0
70,113,160,5,6,1
70,114,160,3,5,2
