group_id,call_index,global_step,uid,extra_info_index,data_source,n_rollouts,correct_count,wrong_count,all_correct,all_wrong,mixed,cost_all_mean,cost_all_min,cost_all_max,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,cost_unique_correct,queries_all_mean,queries_correct_mean,queries_correct_max,parallel_factor_all_mean,parallel_factor_correct_mean,parallel_factor_max,turns_all_mean,turns_correct_mean,response_tokens_all_mean,response_tokens_correct_mean,is_active
0:101159,0,61,101159,101159,hotpotqa,8,8,0,True,False,False,2.0,2.0,2.0,2.0,2.0,2.0,0.0,[2],2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1154.125,1154.125,False
0:101413,0,61,101413,101413,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1209.0,1209.0,False
0:101979,0,61,101979,101979,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1212.0,,False
0:102122,0,61,102122,102122,hotpotqa,8,0,8,False,True,False,2.0,2.0,2.0,,,,0.0,[],3.0,,,1.5,,1.5,3.0,,2108.0,,False
0:102361,0,61,102361,102361,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1239.0,1239.0,False
0:106139,0,61,106139,106139,hotpotqa,8,8,0,True,False,False,3.0,3.0,3.0,3.0,3.0,3.0,0.0,[3],4.0,4.0,4.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,4.0,4.0,2249.0,2249.0,False
0:106525,0,61,106525,106525,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1343.5,,False
0:107275,0,61,107275,107275,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1271.0,,False
0:10826,0,61,10826,10826,nq,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],1.0,,,1.0,,1.0,2.0,,677.0,,False
0:108447,0,61,108447,108447,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1293.0,,False
0:109221,0,61,109221,109221,hotpotqa,8,0,8,False,True,False,3.0,3.0,3.0,,,,0.0,[],3.0,,,1.0,,1.0,4.0,,2274.0,,False
0:110932,0,61,110932,110932,hotpotqa,8,0,8,False,True,False,2.0,2.0,2.0,,,,0.0,[],2.0,,,1.0,,1.0,3.0,,1143.0,,False
0:111012,0,61,111012,111012,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1258.25,1258.25,False
0:113219,0,61,113219,113219,hotpotqa,8,0,8,False,True,False,2.0,2.0,2.0,,,,0.0,[],2.0,,,1.0,,1.0,3.0,,1345.0,,False
0:114697,0,61,114697,114697,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],1.0,,,1.0,,1.0,2.0,,949.0,,False
0:11480,0,61,11480,11480,nq,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1327.875,,False
0:116549,0,61,116549,116549,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1414.0,,False
0:117386,0,61,117386,117386,hotpotqa,8,0,8,False,True,False,1.0,1.0,1.0,,,,0.0,[],2.0,,,2.0,,2.0,2.0,,1312.0,,False
0:118243,0,61,118243,118243,hotpotqa,8,0,8,False,True,False,3.0,3.0,3.0,,,,0.0,[],3.0,,,1.0,,1.0,4.0,,1786.0,,False
0:119662,0,61,119662,119662,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1378.0,1378.0,False
0:119981,0,61,119981,119981,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1373.0,1373.0,False
0:120293,0,61,120293,120293,hotpotqa,8,0,8,False,True,False,3.0,3.0,3.0,,,,0.0,[],3.0,,,1.0,,1.0,4.0,,2511.0,,False
0:121826,0,61,121826,121826,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1313.0,1313.0,False
0:124270,0,61,124270,124270,hotpotqa,8,8,0,True,False,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,[1],1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,819.0,819.0,False
0:125725,0,61,125725,125725,hotpotqa,8,0,8,False,True,False,2.0,2.0,2.0,,,,0.0,[],3.0,,,1.5,,1.5,3.0,,1860.0,,False
