group_id,uid,data_source,cost_min,cost_max,rounds_reduced,efficient_queries_mean,inefficient_queries_mean,queries_not_reduced,queries_increased_in_inefficient,efficient_parallel_factor_mean,inefficient_parallel_factor_mean,parallel_packing_increased_in_efficient,packing_suspect
0:14222,14222,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
0:158926,158926,hotpotqa,1,2,True,1.0,2.429,False,True,1.0,1.214,False,False
2:4012,4012,nq,1,2,True,2.0,2.0,True,False,2.0,1.0,True,True
2:89152,89152,hotpotqa,1,5,True,2.0,6.0,False,True,2.0,1.2,True,False
4:47706,47706,nq,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
5:25122,25122,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
6:140534,140534,hotpotqa,1,2,True,3.0,4.0,False,True,3.0,2.0,True,False
7:88311,88311,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
8:6033,6033,nq,1,2,True,2.0,2.0,True,False,2.0,1.0,True,True
9:161009,161009,hotpotqa,2,3,True,3.0,4.0,False,True,1.5,1.333,True,False
10:86554,86554,hotpotqa,3,4,True,3.167,4.0,False,True,1.056,1.0,True,False
11:86231,86231,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
13:87934,87934,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
15:157986,157986,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
18:154493,154493,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
20:151982,151982,hotpotqa,2,4,True,3.0,5.0,False,True,1.5,1.25,True,False
23:151066,151066,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
24:160806,160806,hotpotqa,1,3,True,2.0,4.0,False,True,2.0,1.333,True,False
24:85613,85613,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
25:60769,60769,nq,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
26:90350,90350,hotpotqa,3,6,True,3.0,6.0,False,True,1.0,1.0,False,False
27:151441,151441,hotpotqa,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
27:158484,158484,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
29:61638,61638,nq,1,2,True,1.286,3.0,False,True,1.286,1.5,False,False
30:103422,103422,hotpotqa,2,4,True,3.0,5.0,False,True,1.5,1.25,True,False
30:154346,154346,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
32:158837,158837,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
33:80235,80235,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
34:142018,142018,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
34:155791,155791,hotpotqa,2,4,True,2.0,4.0,False,True,1.0,1.0,False,False
38:47413,47413,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
39:113908,113908,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
39:132914,132914,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
39:13727,13727,nq,2,3,True,2.0,4.0,False,True,1.0,1.333,False,False
39:166507,166507,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
39:32148,32148,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
40:168041,168041,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
40:19418,19418,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
41:113623,113623,hotpotqa,2,3,True,3.0,4.0,False,True,1.5,1.333,True,False
41:129523,129523,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
41:64365,64365,nq,2,4,True,3.0,5.0,False,True,1.5,1.25,True,False
43:118841,118841,hotpotqa,1,2,True,2.0,3.0,False,True,2.0,1.5,True,False
43:151252,151252,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
44:141716,141716,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
44:36498,36498,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
44:36719,36719,nq,2,3,True,3.0,4.0,False,True,1.5,1.333,True,False
46:105198,105198,hotpotqa,1,2,True,2.0,2.0,True,False,2.0,1.0,True,True
49:56960,56960,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
49:61082,61082,nq,2,3,True,2.0,3.0,False,True,1.0,1.0,False,False
51:30467,30467,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
53:85949,85949,hotpotqa,1,3,True,2.0,4.0,False,True,2.0,1.333,True,False
55:161637,161637,hotpotqa,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
55:39378,39378,nq,1,2,True,1.0,2.0,False,True,1.0,1.0,False,False
