metric,value
run_dir,/data01/wyy/Graph-Agent-Planning/E1-0/runs/20260910_step60to70_e10
n_rollout_records,147200
n_group_records_from_manager,18400
n_groups_recomputed,18400
n_call_records,115
P_group_size_8,None
P_group8,100.0
P_correct_ge_2,45.95652173913044
P_all_correct,44.47826086956522
P_var_xml_given_ge2,1.1234626300851467
P_var_structured_given_ge2,1.1234626300851467
P_all_correct_costvar_xml,1.0263929618768328
P_all_correct_costvar_structured,1.0263929618768328
P_zero_search_correct_xml,0.0
P_zero_search_correct_structured,0.0
signal_density_xml,0.5163043478260869
signal_density_structured,0.5163043478260869
