checkpoint,window,n_rollouts,n_groups,mean_reward,mean_em,mean_efficiency_bonus,active_efficiency_groups,retained_groups_shaped,retained_groups_baseline_em,newly_added_by_shaping,mean_search_batches,mean_queries,parallel_factor,mean_conversation_turns,mean_response_tokens,zero_search_rate,zero_search_correct_count,metadata_invalid
global_step_80,window_10step,128000,16000,0.458431,0.458328,0.002065,73,337,273,64,1.421437,1.972656,1.514450,2.421438,1274.490828,0.000375,0,0
global_step_80,cumulative,128000,16000,0.458431,0.458328,0.002065,73,337,273,64,1.421437,1.972656,1.514450,2.421438,1274.490828,0.000375,0,0
global_step_90,window_10step,124160,15520,0.453599,0.453495,0.002078,63,336,275,61,1.395248,1.967969,1.537072,2.395119,1268.799275,0.000129,0,0
global_step_90,cumulative,252160,31520,0.456052,0.455949,0.002071,136,673,548,125,1.408542,1.970348,1.525590,2.408479,1271.688388,0.000254,0,0
global_step_100,window_10step,124160,15520,0.456958,0.456846,0.002239,69,341,275,66,1.333030,1.925620,1.562405,2.332966,1248.131935,0.000258,0,0
global_step_100,cumulative,376320,47040,0.456351,0.456245,0.002127,205,1014,823,191,1.383628,1.955591,1.537736,2.383565,1263.916361,0.000255,0,0
global_step_110,window_10step,130560,16320,0.457017,0.456939,0.001551,49,333,285,48,1.275957,1.885800,1.588943,2.275957,1227.661458,0.000123,0,0
global_step_110,cumulative,506880,63360,0.456523,0.456424,0.001978,254,1347,1108,239,1.355895,1.937614,1.550927,2.355848,1254.577977,0.000221,0,0
global_step_120,window_10step,134400,16800,0.459616,0.459554,0.001257,37,338,304,34,1.233400,1.843996,1.596961,2.233400,1206.561004,0.000357,0,0
global_step_120,cumulative,641280,80160,0.457171,0.457080,0.001827,291,1685,1412,273,1.330222,1.917994,1.560574,2.330185,1244.514540,0.000250,0,0
