global_step,GAP_gen_batches,GAP_retained_per_batch_mean,E1B_gen_batches,E1B_retained_per_batch_mean
70,10,3.2,,
71,10,3.2,7.0,4.571428571428571
72,14,2.5,13.0,2.6153846153846154
73,12,2.6666666666666665,9.0,4.0
74,14,2.4285714285714284,9.0,3.888888888888889
75,8,4.0,8.0,4.0
76,11,3.0,8.0,4.125
77,12,2.6666666666666665,10.0,3.2
78,12,3.0833333333333335,14.0,2.4285714285714284
79,13,2.4615384615384617,9.0,3.888888888888889
80,12,2.8333333333333335,13.0,2.6153846153846154
81,12,2.6666666666666665,7.0,4.571428571428571
82,10,3.4,8.0,4.0
83,11,3.272727272727273,13.0,2.6923076923076925
84,10,3.6,11.0,3.090909090909091
85,10,3.3,7.0,4.857142857142857
86,10,3.2,9.0,3.6666666666666665
87,10,3.2,11.0,3.272727272727273
88,9,4.111111111111111,9.0,3.7777777777777777
89,8,4.25,11.0,2.909090909090909
90,10,3.2,11.0,3.090909090909091
91,12,2.75,8.0,4.25
92,8,4.25,9.0,3.6666666666666665
93,15,2.2,10.0,3.2
94,13,2.6923076923076925,10.0,3.5
95,6,5.666666666666667,8.0,4.375
96,9,3.5555555555555554,9.0,4.0
97,12,2.75,10.0,3.2
98,10,3.6,10.0,3.6
99,8,4.0,11.0,3.090909090909091
100,8,4.0,12.0,2.8333333333333335
101,14,2.7142857142857144,8.0,4.375
102,10,3.3,11.0,3.0
103,12,2.6666666666666665,9.0,3.6666666666666665
104,8,4.25,11.0,2.909090909090909
105,12,2.8333333333333335,11.0,3.0
106,9,3.6666666666666665,9.0,3.7777777777777777
107,9,3.888888888888889,9.0,3.5555555555555554
108,11,3.0,12.0,2.8333333333333335
109,8,4.0,9.0,3.6666666666666665
110,11,2.909090909090909,13.0,2.6153846153846154
111,9,3.888888888888889,10.0,3.2
112,8,4.125,10.0,3.6
113,13,2.5384615384615383,8.0,4.25
114,9,4.333333333333333,11.0,2.909090909090909
115,8,4.125,12.0,2.8333333333333335
116,10,3.7,11.0,3.272727272727273
117,13,2.769230769230769,9.0,3.888888888888889
118,8,4.0,11.0,2.909090909090909
119,9,3.6666666666666665,12.0,2.9166666666666665
120,8,4.125,11.0,2.909090909090909
