pool,mode,global_step,calls_needed,n_generation_batches_available,kept_in_prefix,selected_count,total_kept_if_all_calls
E1_0,GAP,61,13,13,32,32,33
E1_0,GAP,62,14,14,32,32,35
E1_0,GAP,63,13,13,32,32,35
E1_0,GAP,64,9,9,32,32,34
E1_0,GAP,65,13,13,32,32,33
E1_0,GAP,66,13,13,32,32,34
E1_0,GAP,67,12,12,32,32,36
E1_0,GAP,68,8,8,32,32,33
E1_0,GAP,69,10,10,32,32,33
E1_0,GAP,70,10,10,32,32,34
E1_0,E1,61,10,10,32,32,43
E1_0,E1,62,11,11,32,32,42
E1_0,E1,63,9,9,32,32,49
E1_0,E1,64,7,7,32,32,45
E1_0,E1,65,11,11,32,32,43
E1_0,E1,66,11,11,32,32,42
E1_0,E1,67,10,10,32,32,42
E1_0,E1,68,7,7,32,32,40
E1_0,E1,69,9,9,32,32,37
E1_0,E1,70,9,9,32,32,41
E1_A,GAP,61,12,12,28,28,28
E1_A,GAP,62,11,11,32,32,34
E1_A,GAP,63,15,15,31,31,31
E1_A,GAP,64,10,10,31,31,31
E1_A,GAP,65,9,9,28,28,28
E1_A,GAP,66,10,10,30,30,30
E1_A,GAP,67,10,10,26,26,26
E1_A,GAP,68,12,12,28,28,28
E1_A,GAP,69,10,10,30,30,30
E1_A,GAP,70,10,10,28,28,28
E1_A,E1,61,12,12,32,32,37
E1_A,E1,62,11,11,32,32,34
E1_A,E1,63,15,15,32,32,37
E1_A,E1,64,10,10,32,32,36
E1_A,E1,65,9,9,32,32,34
E1_A,E1,66,10,10,32,32,35
E1_A,E1,67,10,10,32,32,32
E1_A,E1,68,12,12,32,32,36
E1_A,E1,69,10,10,32,32,34
E1_A,E1,70,10,10,32,32,34
E1_B,GAP,71,7,7,27,27,27
E1_B,GAP,72,13,13,26,26,26
E1_B,GAP,73,9,9,29,29,29
E1_B,GAP,74,9,9,30,30,30
E1_B,GAP,75,8,8,26,26,26
E1_B,GAP,76,8,8,26,26,26
E1_B,GAP,77,10,10,25,25,25
E1_B,GAP,78,14,14,29,29,29
E1_B,GAP,79,9,9,31,31,31
E1_B,GAP,80,13,13,24,24,24
E1_B,GAP,81,7,7,27,27,27
E1_B,GAP,82,8,8,28,28,28
E1_B,GAP,83,13,13,27,27,27
E1_B,GAP,84,11,11,31,31,31
E1_B,GAP,85,7,7,27,27,27
E1_B,GAP,86,9,9,27,27,27
E1_B,GAP,87,11,11,26,26,26
E1_B,GAP,88,9,9,27,27,27
E1_B,GAP,89,11,11,27,27,27
E1_B,GAP,90,11,11,28,28,28
E1_B,GAP,91,8,8,29,29,29
E1_B,GAP,92,9,9,28,28,28
E1_B,GAP,93,10,10,23,23,23
E1_B,GAP,94,10,10,29,29,29
E1_B,GAP,95,8,8,26,26,26
E1_B,GAP,96,9,9,28,28,28
E1_B,GAP,97,10,10,27,27,27
E1_B,GAP,98,10,10,26,26,26
