group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection,cohort
1:168047,1,71,168047,hotpotqa,8,8,False,True,False,1.0,2.625,2.625,2.0,3.0,1.0,2.625,3.625,1994.375,True,False,True,True,False,False,E1_added
2:28926,2,71,28926,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,2.625,2.625,1550.5,True,False,True,True,False,False,E1_added
3:97704,3,71,97704,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,931.0,True,False,True,True,False,False,E1_added
3:8143,3,71,8143,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,799.625,True,False,True,True,False,False,E1_added
6:77010,6,71,77010,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,1.75,2.75,1286.0,True,False,True,True,False,False,E1_added
7:87373,7,72,87373,hotpotqa,8,8,False,True,False,1.0,4.125,4.125,4.0,5.0,1.0,6.125,5.125,3359.375,True,False,True,True,False,False,E1_added
7:115866,7,72,115866,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1258.875,True,False,True,True,False,False,E1_added
9:116014,9,72,116014,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1534.625,True,False,True,True,False,False,E1_added
13:157589,13,72,157589,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.25,2.25,1495.0,True,False,True,True,False,False,E1_added
15:5483,15,72,5483,nq,8,8,False,True,False,1.0,2.25,2.25,2.0,4.0,2.0,2.25,3.25,1481.625,True,False,True,True,False,False,E1_added
17:153731,17,72,153731,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,2.0,3.0,1.0,2.125,3.125,1495.5,True,False,True,True,False,False,E1_added
18:50727,18,72,50727,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1127.5,True,False,True,True,False,False,E1_added
19:16120,19,72,16120,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,790.375,True,False,True,True,False,False,E1_added
19:92212,19,72,92212,hotpotqa,8,3,False,False,True,0.375,5.625,6.666666666666667,6.0,7.0,1.0,5.625,6.625,2632.375,True,True,True,False,False,True,GAP_displaced
19:6244,19,72,6244,nq,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,1.125,2.0,865.25,False,True,True,False,False,True,GAP_displaced
21:112832,21,73,112832,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1151.0,True,False,True,True,False,False,E1_added
23:121064,23,73,121064,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1654.5,True,False,True,True,False,False,E1_added
26:62949,26,73,62949,nq,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1039.5,True,False,True,True,False,False,E1_added
27:142310,27,73,142310,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1683.125,True,False,True,True,False,False,E1_added
28:122799,28,73,122799,hotpotqa,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1280.5,False,True,True,False,False,True,GAP_displaced
29:134529,29,74,134529,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,1.0,4.0,3.0,3.125,3.125,1913.875,True,False,True,True,False,False,E1_added
32:59146,32,74,59146,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1098.875,True,False,True,True,False,False,E1_added
33:127126,33,74,127126,hotpotqa,8,8,False,True,False,1.0,3.875,3.875,3.0,4.0,1.0,3.875,4.875,2348.0,True,False,True,True,False,False,E1_added
36:155392,36,74,155392,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.75,2.875,1844.25,True,False,True,True,False,False,E1_added
36:151061,36,74,151061,hotpotqa,8,8,False,True,False,1.0,2.875,2.875,2.0,3.0,1.0,2.875,3.875,1741.0,True,False,True,True,False,False,E1_added
37:7492,37,74,7492,nq,8,6,False,False,True,0.75,4.0,4.0,4.0,4.0,0.0,5.0,5.0,3002.625,False,True,True,False,False,True,GAP_displaced
37:82998,37,74,82998,hotpotqa,8,5,False,False,True,0.625,2.75,2.0,2.0,2.0,0.0,2.75,3.75,1703.375,False,True,True,False,False,True,GAP_displaced
37:2020,37,74,2020,nq,8,5,False,False,True,0.625,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1356.625,False,True,True,False,False,True,GAP_displaced
38:166008,38,75,166008,hotpotqa,8,8,False,True,False,1.0,2.75,2.75,2.0,3.0,1.0,2.75,3.75,1674.75,True,False,True,True,False,False,E1_added
39:126879,39,75,126879,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1695.625,True,False,True,True,False,False,E1_added
40:84947,40,75,84947,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1748.25,True,False,True,True,False,False,E1_added
42:106778,42,75,106778,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,3.0,3.375,1847.375,True,False,True,True,False,False,E1_added
44:81951,44,75,81951,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1909.125,True,False,True,True,False,False,E1_added
44:105371,44,75,105371,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1662.25,True,False,True,True,False,False,E1_added
46:44905,46,76,44905,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1552.5,True,False,True,True,False,False,E1_added
46:28363,46,76,28363,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,3.25,2.25,1855.0,True,False,True,True,False,False,E1_added
46:133468,46,76,133468,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1398.875,True,False,True,True,False,False,E1_added
47:65042,47,76,65042,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,3.0,2.0,1.25,2.25,1010.75,True,False,True,True,False,False,E1_added
49:36786,49,76,36786,nq,8,8,False,True,False,1.0,2.875,2.875,2.0,3.0,1.0,2.875,3.875,2056.875,True,False,True,True,False,False,E1_added
51:90321,51,76,90321,hotpotqa,8,8,False,True,False,1.0,2.75,2.75,2.0,3.0,1.0,2.75,3.75,1782.0,True,False,True,True,False,False,E1_added
53:23809,53,76,23809,nq,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1396.25,True,False,True,True,False,False,E1_added
53:85608,53,76,85608,hotpotqa,8,4,False,False,True,0.5,2.5,3.0,3.0,3.0,0.0,2.5,3.5,1606.5,False,True,True,False,False,True,GAP_displaced
54:86004,54,77,86004,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1753.5,True,False,True,True,False,False,E1_added
55:83312,55,77,83312,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1408.875,True,False,True,True,False,False,E1_added
56:130502,56,77,130502,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1537.0,True,False,True,True,False,False,E1_added
57:4183,57,77,4183,nq,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1341.0,True,False,True,True,False,False,E1_added
58:91271,58,77,91271,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1828.375,True,False,True,True,False,False,E1_added
59:161525,59,77,161525,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,3.0,2.0,2.25,2.25,1517.25,True,False,True,True,False,False,E1_added
62:118312,62,77,118312,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1313.625,True,False,True,True,False,False,E1_added
64:55606,64,78,55606,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1355.5,True,False,True,True,False,False,E1_added
66:153580,66,78,153580,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1637.125,True,False,True,True,False,False,E1_added
71:103486,71,78,103486,hotpotqa,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1085.25,True,False,True,True,False,False,E1_added
74:93361,74,78,93361,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.0,2.25,1268.75,True,False,True,True,False,False,E1_added
76:150523,76,78,150523,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1584.625,True,False,True,True,False,False,E1_added
77:128624,77,78,128624,hotpotqa,8,7,False,False,True,0.875,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1366.5,False,True,True,False,False,True,GAP_displaced
77:128055,77,78,128055,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1234.0,False,True,True,False,False,True,GAP_displaced
79:141359,79,79,141359,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1066.75,True,False,True,True,False,False,E1_added
81:44194,81,79,44194,nq,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1287.75,True,False,True,True,False,False,E1_added
85:29993,85,79,29993,nq,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1474.625,True,False,True,True,False,False,E1_added
86:5554,86,79,5554,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,1.375,2.375,922.375,True,False,True,True,False,False,E1_added
86:73572,86,79,73572,nq,8,1,False,False,True,0.125,1.625,4.0,4.0,4.0,0.0,2.625,2.625,1744.375,False,True,True,False,False,True,GAP_displaced
86:16779,86,79,16779,nq,8,7,False,False,True,0.875,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1174.5,False,True,True,False,False,True,GAP_displaced
86:158505,86,79,158505,hotpotqa,8,5,False,False,True,0.625,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1914.75,False,True,True,False,False,True,GAP_displaced
90:152428,90,80,152428,hotpotqa,8,8,False,True,False,1.0,2.25,2.25,2.0,3.0,1.0,3.25,3.25,1901.75,True,False,True,True,False,False,E1_added
90:90167,90,80,90167,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1885.5,True,False,True,True,False,False,E1_added
