group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
0:14222,0,61,0,14222,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1496.25,,True,736,True,E1_added
0:158926,0,61,0,158926,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.25,2.25,1414.0,,True,1136,True,E1_added
2:4012,2,61,2,4012,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.0,2.0,1265.0,,True,3008,True,E1_added
5:25122,5,61,5,25122,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1107.0,,True,6736,True,E1_added
6:140534,6,61,6,140534,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,3.625,3.625,2085.375,,True,8552,True,E1_added
7:88311,7,61,7,88311,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1724.75,,True,9960,True,E1_added
8:6033,8,61,8,6033,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.0,2.0,1435.875,,True,11368,True,E1_added
9:161009,9,61,9,161009,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,3.375,3.375,2109.125,,True,11768,True,E1_added
9:25078,9,61,9,25078,nq,8,5,False,False,True,0.625,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1677.375,,False,12456,False,GAP_displaced
9:169285,9,61,9,169285,hotpotqa,8,6,False,False,True,0.75,0.0,3.0,3.0,3.25,3.0,3.25,3.0,2160.75,,False,12592,False,GAP_displaced
10:51415,10,61,10,51415,nq,8,1,False,False,True,0.125,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1535.75,,False,13688,False,GAP_displaced
11:125422,11,61,11,125422,hotpotqa,8,2,False,False,True,0.25,0.0,2.0,2.0,1.25,2.0,1.25,2.0,892.25,,False,14608,False,GAP_displaced
11:67602,11,61,11,67602,nq,8,1,False,False,True,0.125,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1187.125,,False,14712,False,GAP_displaced
11:155040,11,61,11,155040,hotpotqa,8,5,False,False,True,0.625,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1269.625,,False,15232,False,GAP_displaced
12:52554,12,61,12,52554,nq,8,2,False,False,True,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,738.25,,False,15744,False,GAP_displaced
12:165605,12,61,12,165605,hotpotqa,8,1,False,False,True,0.125,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1309.25,,False,16072,False,GAP_displaced
13:87934,13,62,0,87934,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.875,2.875,2.875,2.875,1765.625,,True,16704,True,E1_added
15:157986,15,62,2,157986,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.625,2.625,2.625,2.625,1763.625,,True,19696,True,E1_added
18:154493,18,62,5,154493,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1696.875,,True,24144,True,E1_added
23:151066,23,62,10,151066,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.125,2.125,2.125,2.125,1442.375,,True,29992,True,E1_added
24:12322,24,62,11,12322,nq,8,4,False,False,True,0.5,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1200.5,,False,31272,False,GAP_displaced
25:82360,25,62,12,82360,hotpotqa,8,2,False,False,True,0.25,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1251.0,,False,32632,False,GAP_displaced
25:52210,25,62,12,52210,nq,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1448.25,,False,33064,False,GAP_displaced
26:90350,26,62,13,90350,hotpotqa,8,7,False,False,True,0.875,3.0,3.0,6.0,4.875,4.857142857142857,4.875,4.857142857142857,3265.875,,True,33624,False,GAP_displaced
27:151441,27,63,0,151441,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.625,2.625,2.625,2.625,1528.875,,True,34872,True,E1_added
27:158484,27,63,0,158484,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,2.875,2.875,1728.625,,True,35296,True,E1_added
29:61638,29,63,2,61638,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.5,1.5,964.375,,True,37808,True,E1_added
30:154346,30,63,3,154346,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1075.5,,True,38920,True,E1_added
30:103422,30,63,3,103422,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,4.0,2.75,2.75,3.75,3.75,2354.375,,True,39056,True,E1_added
32:158837,32,63,5,158837,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1406.0,,True,42048,True,E1_added
33:80235,33,63,6,80235,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1447.5,,True,43192,True,E1_added
34:155791,34,63,7,155791,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,4.0,3.75,3.75,3.75,3.75,2339.5,,True,44552,True,E1_added
34:142018,34,63,7,142018,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,1.375,1.375,1084.375,,True,44560,True,E1_added
36:84273,36,63,9,84273,hotpotqa,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1364.25,,False,46768,False,GAP_displaced
36:18398,36,63,9,18398,nq,8,3,False,False,True,0.375,0.0,2.0,2.0,1.375,2.0,6.375,7.0,2445.875,,False,47224,False,GAP_displaced
37:48934,37,63,10,48934,nq,8,5,False,False,True,0.625,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1281.25,,False,47432,False,GAP_displaced
37:18009,37,63,10,18009,nq,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1336.125,,False,47992,False,GAP_displaced
38:69407,38,63,11,69407,nq,8,3,False,False,True,0.375,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1205.5,,False,49368,False,GAP_displaced
38:89271,38,63,11,89271,hotpotqa,8,5,False,False,True,0.625,0.0,2.0,2.0,2.375,2.0,2.375,2.0,1623.375,,False,49592,False,GAP_displaced
38:109517,38,63,11,109517,hotpotqa,8,5,False,False,True,0.625,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1250.375,,False,49688,False,GAP_displaced
39:85327,39,63,12,85327,hotpotqa,8,3,False,False,True,0.375,0.0,2.0,2.0,1.375,2.0,1.375,2.0,917.75,,False,50000,False,GAP_displaced
39:91109,39,63,12,91109,hotpotqa,8,7,False,False,True,0.875,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1236.25,,False,50616,False,GAP_displaced
40:19418,40,64,0,19418,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,784.0,,True,51528,True,E1_added
40:168041,40,64,0,168041,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,2.125,2.125,1531.0,,True,52384,True,E1_added
