group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
0:158926,0,61,0,158926,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1084.0,2.625,True,1136,True,E1_added
1:160364,1,61,1,160364,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1763.25,2.75,True,1824,True,E1_added
4:40841,4,61,4,40841,nq,8,8,False,True,False,1.0,1.0,2.0,3.0,2.375,2.375,2.375,2.375,1486.625,3.375,True,5600,True,E1_added
5:104759,5,61,5,104759,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.125,2.125,2.125,2.125,1318.625,3.125,True,6528,True,E1_added
7:41106,7,61,7,41106,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.25,2.25,1360.0,2.25,True,9816,True,E1_added
9:101573,9,61,9,101573,hotpotqa,8,8,False,True,False,1.0,2.0,1.0,3.0,1.75,1.75,2.75,2.75,1616.875,2.75,True,11680,True,E1_added
10:57686,10,61,10,57686,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1128.625,2.625,True,13224,True,E1_added
10:167722,10,61,10,167722,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.75,2.75,2.75,2.75,1692.25,3.75,True,13416,True,E1_added
11:148830,11,61,11,148830,hotpotqa,8,4,False,False,True,0.5,0.0,2.0,2.0,1.5,2.0,1.5,2.0,1179.5,2.5,False,14672,False,GAP_displaced
11:27581,11,61,11,27581,nq,8,6,False,False,True,0.75,0.0,3.0,3.0,3.5,3.0,3.5,3.0,1940.75,4.5,False,14728,False,GAP_displaced
11:161184,11,61,11,161184,hotpotqa,8,3,False,False,True,0.375,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1274.25,2.0,False,15016,False,GAP_displaced
11:132942,11,61,11,132942,hotpotqa,8,2,False,False,True,0.25,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1319.5,3.0,False,15112,False,GAP_displaced
25:137088,25,63,2,137088,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.25,2.25,1430.75,2.25,True,32984,True,E1_added
26:154907,26,63,3,154907,hotpotqa,8,8,False,True,False,1.0,1.0,3.0,4.0,3.125,3.125,4.125,4.125,2094.625,4.125,True,33368,True,E1_added
31:23926,31,63,8,23926,nq,8,8,False,True,False,1.0,1.0,4.0,5.0,4.25,4.25,4.25,4.25,2581.5,5.25,True,40016,True,E1_added
31:135770,31,63,8,135770,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.625,2.625,1517.625,2.625,True,40240,True,E1_added
34:28416,34,63,11,28416,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,751.75,2.125,True,44776,True,E1_added
36:46248,36,63,13,46248,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1028.875,2.625,True,46472,True,E1_added
