group_id,call_index,global_step,call_within_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_gap_correct,cost_correct_min,cost_correct_max,cost_all_mean,cost_correct_mean,queries_all_mean,queries_correct_mean,tokens_all_mean,turns_all_mean,is_active_efficiency,src_order,all_correct_or_wrong,cohort
1:168047,1,71,1,168047,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.625,2.625,2.625,2.625,1994.375,3.625,True,1488,True,E1_added
2:28926,2,71,2,28926,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,2.625,2.625,1550.5,2.625,True,3664,True,E1_added
3:97704,3,71,3,97704,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,931.0,2.5,True,4056,True,E1_added
3:8143,3,71,3,8143,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,799.625,2.125,True,4608,True,E1_added
6:77010,6,71,6,77010,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,1.75,1.75,1286.0,2.75,True,8912,True,E1_added
7:87373,7,72,0,87373,hotpotqa,8,8,False,True,False,1.0,1.0,4.0,5.0,4.125,4.125,6.125,6.125,3359.375,5.125,True,9600,True,E1_added
7:115866,7,72,0,115866,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1258.875,2.875,True,10136,True,E1_added
9:116014,9,72,2,116014,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1534.625,2.75,True,12072,True,E1_added
13:157589,13,72,6,157589,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.25,1.25,2.25,2.25,1495.0,2.25,True,16760,True,E1_added
15:5483,15,72,8,5483,nq,8,8,False,True,False,1.0,2.0,2.0,4.0,2.25,2.25,2.25,2.25,1481.625,3.25,True,20064,True,E1_added
17:153731,17,72,10,153731,hotpotqa,8,8,False,True,False,1.0,1.0,2.0,3.0,2.125,2.125,2.125,2.125,1495.5,3.125,True,22864,True,E1_added
18:50727,18,72,11,50727,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.625,1.625,1.625,1.625,1127.5,2.625,True,23984,True,E1_added
19:16120,19,72,12,16120,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.125,1.125,1.125,1.125,790.375,2.125,True,24816,True,E1_added
19:92212,19,72,12,92212,hotpotqa,8,3,False,False,True,0.375,1.0,6.0,7.0,5.625,6.666666666666667,5.625,6.666666666666667,2632.375,6.625,True,25264,False,GAP_displaced
19:6244,19,72,12,6244,nq,8,7,False,False,True,0.875,0.0,1.0,1.0,1.0,1.0,1.125,1.0,865.25,2.0,False,25360,False,GAP_displaced
21:112832,21,73,1,112832,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.875,1.875,1.875,1.875,1151.0,2.875,True,28016,True,E1_added
23:121064,23,73,3,121064,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.75,1.75,2.75,2.75,1654.5,2.75,True,30248,True,E1_added
26:62949,26,73,6,62949,nq,8,8,False,True,False,1.0,1.0,1.0,2.0,1.5,1.5,1.5,1.5,1039.5,2.5,True,34032,True,E1_added
27:142310,27,73,7,142310,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,2.0,1.375,1.375,2.375,2.375,1683.125,2.375,True,35432,True,E1_added
