global_step,group_id
71,1:168047
71,2:28926
71,3:8143
71,3:97704
71,6:77010
72,13:157589
72,15:5483
72,17:153731
72,18:50727
72,19:16120
72,7:115866
72,7:87373
72,9:116014
73,21:112832
73,23:121064
73,26:62949
73,27:142310
74,29:134529
74,32:59146
74,33:127126
74,36:151061
74,36:155392
75,38:166008
75,39:126879
75,40:84947
75,42:106778
75,44:105371
75,44:81951
76,46:133468
76,46:28363
76,46:44905
76,47:65042
76,49:36786
76,51:90321
76,53:23809
77,54:86004
77,55:83312
77,56:130502
77,57:4183
77,58:91271
77,59:161525
77,62:118312
78,64:55606
78,66:153580
78,71:103486
78,74:93361
78,76:150523
79,79:141359
79,81:44194
79,85:29993
79,86:5554
80,90:152428
80,90:90167
80,91:151625
80,93:114726
80,93:11795
80,93:70097
80,95:136129
80,95:99630
80,96:145288
80,97:155810
81,100:24573
81,101:143226
81,102:142188
81,104:17568
81,106:161108
82,107:29328
82,108:151819
82,111:124181
82,114:39663
83,117:145328
83,117:45257
83,117:73099
83,118:39068
83,123:55112
83,123:60303
83,126:87691
83,127:53274
84,128:137656
84,129:89801
84,136:134563
85,139:128386
85,140:57077
85,141:131387
85,141:90691
85,142:139400
85,145:142502
85,145:90013
86,147:157834
86,148:151732
86,148:166162
86,149:133086
86,151:127397
86,153:133738
87,155:100113
87,155:125490
87,156:159485
87,158:122008
87,159:148703
87,159:69662
87,161:164022
87,162:96613
87,163:152901
87,165:15228
88,166:145462
88,166:158301
88,167:108770
88,167:113328
88,169:48120
88,172:140052
88,174:121862
89,175:62861
89,178:32798
89,179:135151
89,182:137019
89,185:130562
90,186:114287
90,187:149796
90,188:113210
90,189:109923
90,195:158341
90,196:81274
91,197:18886
91,201:37654
91,203:160989
91,203:83699
91,203:93566
92,208:118485
92,209:29454
92,211:1917
92,213:68136
93,214:116915
93,214:135052
93,215:103649
93,215:106619
93,216:157166
93,221:45752
93,221:67744
93,221:9824
93,222:164440
94,225:16966
94,227:112922
94,227:93681
94,228:129561
94,228:139533
94,232:131238
95,235:169126
95,237:6091
95,237:76935
95,238:131277
95,239:126567
95,239:127781
95,240:153832
95,241:94600
96,243:75334
96,244:160549
96,244:71094
96,244:81223
96,246:151512
96,247:60312
96,247:88007
97,253:34166
97,257:62967
97,259:46162
97,259:83820
97,260:28437
98,261:150481
98,262:74347
98,263:31161
98,264:132009
98,264:139653
98,264:90870
98,265:138045
98,267:131175
98,267:152611
98,268:44421
99,271:155993
99,273:102697
99,273:80425
99,274:1672
99,278:82186
99,281:75925
100,282:110899
100,283:133161
101,295:97084
101,298:38959
101,300:81151
102,302:83223
102,303:152248
102,305:107421
102,306:121677
102,309:147823
102,311:108773
103,313:158644
103,320:91323
103,321:15578
104,325:132473
104,325:154782
104,325:159980
104,326:154821
104,326:92978
104,331:123179
104,332:27569
105,333:54935
105,333:65082
105,334:116829
105,338:121478
105,340:143644
106,346:48117
106,348:111059
106,348:47799
106,349:125708
106,349:99563
106,351:136536
107,354:68235
107,354:94337
107,359:146349
108,364:63657
108,365:159329
108,369:2496
108,370:92868
108,373:110164
109,375:100841
109,379:149138
109,380:17342
109,380:80549
110,384:108668
110,388:145512
110,392:154664
111,398:102949
111,399:134098
111,404:5520
111,404:95684
112,410:52661
112,410:88199
113,417:4424
113,420:84266
113,421:143709
114,426:40006
114,431:72621
114,432:70942
115,438:155925
115,438:89562
115,439:114450
116,447:110039
116,447:168548
116,453:132143
117,459:17334
117,460:116791
118,473:135380
118,476:90536
118,477:113023
119,481:90310
119,482:148994
119,485:103170
119,489:30418
120,490:105409
120,492:88194
120,494:85660
120,496:120148
120,497:35710
120,500:31250
