global_step,group_id
72,19:6244
72,19:92212
73,28:122799
74,37:2020
74,37:7492
74,37:82998
76,53:85608
78,77:128055
78,77:128624
79,86:158505
79,86:16779
79,86:73572
80,99:14669
80,99:147163
83,127:1261
83,127:35900
83,127:79902
84,138:159909
84,138:16910
85,145:51886
85,145:53397
86,154:58265
87,165:167260
87,165:167591
87,165:65930
87,165:80921
88,174:161862
88,174:83170
90,196:15965
90,196:83565
91,204:103880
91,204:58098
94,233:12953
94,233:148027
94,233:28050
95,241:7720
95,241:99015
96,250:156941
96,250:27786
96,250:66123
98,270:103236
98,270:119726
98,270:137698
98,270:158998
99,281:162342
99,281:86548
100,293:30693
101,301:104043
101,301:168655
101,301:17103
103,321:37475
105,343:84672
106,352:148056
108,373:154685
109,382:122970
110,395:122188
110,395:148385
112,415:10362
112,415:14639
113,423:27502
113,423:39535
115,446:39867
115,446:92295
116,457:109206
116,457:120689
116,457:33295
117,466:65560
117,466:93152
119,489:121428
119,489:12748
119,489:26395
