global_step,calls_available,GAP_calls_needed,E1_calls_needed,calls_saved,GAP_selected,E1_selected,selected_intersection,GAP_selected_only,E1_selected_only,selected_jaccard,GAP_kept_all_calls,E1_kept_all_calls
71,7,7,7,0,27,32,27,0,5,0.84375,27,32
72,13,13,13,0,26,32,24,2,8,0.7058823529411765,26,34
73,9,9,9,0,29,32,28,1,4,0.8484848484848485,29,36
74,9,9,9,0,30,32,27,3,5,0.7714285714285715,30,35
75,8,8,8,0,26,32,26,0,6,0.8125,26,32
76,8,8,8,0,26,32,25,1,7,0.7575757575757576,26,33
77,10,10,10,0,25,32,25,0,7,0.78125,25,32
78,14,14,14,0,29,32,27,2,5,0.7941176470588235,29,34
79,9,9,9,0,31,32,28,3,4,0.8,31,35
80,13,13,13,0,24,32,22,2,10,0.6470588235294118,24,34
81,7,7,7,0,27,32,27,0,5,0.84375,27,32
82,8,8,8,0,28,32,28,0,4,0.875,28,32
83,13,13,13,0,27,32,24,3,8,0.6857142857142857,27,35
84,11,11,11,0,31,32,29,2,3,0.8529411764705882,31,34
85,7,7,7,0,27,32,25,2,7,0.7352941176470589,27,34
86,9,9,9,0,27,32,26,1,6,0.7878787878787878,27,33
87,11,11,11,0,26,32,22,4,10,0.6111111111111112,26,36
88,9,9,9,0,27,32,25,2,7,0.7352941176470589,27,34
89,11,11,11,0,27,32,27,0,5,0.84375,27,32
90,11,11,11,0,28,32,26,2,6,0.7647058823529411,28,34
91,8,8,8,0,29,32,27,2,5,0.7941176470588235,29,34
92,9,9,9,0,28,32,28,0,4,0.875,28,33
93,10,10,10,0,23,32,23,0,9,0.71875,23,32
94,10,10,10,0,29,32,26,3,6,0.7428571428571429,29,35
95,8,8,8,0,26,32,24,2,8,0.7058823529411765,26,35
96,9,9,9,0,28,32,25,3,7,0.7142857142857143,28,36
97,10,10,10,0,27,32,27,0,5,0.84375,27,32
98,10,10,10,0,26,32,22,4,10,0.6111111111111112,26,36
99,11,11,11,0,28,32,26,2,6,0.7647058823529411,28,34
100,12,12,12,0,31,32,30,1,2,0.9090909090909091,31,34
101,8,8,8,0,32,32,29,3,3,0.8285714285714286,32,35
102,11,11,11,0,26,32,26,0,6,0.8125,26,33
103,9,9,9,0,30,32,29,1,3,0.8787878787878788,30,33
104,11,11,11,0,25,32,25,0,7,0.78125,25,32
105,11,11,11,0,28,32,27,1,5,0.8181818181818182,28,33
106,9,9,9,0,27,32,26,1,6,0.7878787878787878,27,34
107,9,9,9,0,29,32,29,0,3,0.90625,29,32
108,12,12,12,0,28,32,27,1,5,0.8181818181818182,28,34
109,9,9,9,0,29,32,28,1,4,0.8484848484848485,29,33
110,13,13,13,0,31,32,29,2,3,0.8529411764705882,31,34
111,10,10,10,0,28,32,28,0,4,0.875,28,32
112,10,10,10,0,32,32,30,2,2,0.8823529411764706,34,36
113,8,8,8,0,31,32,29,2,3,0.8529411764705882,31,34
114,11,11,11,0,29,32,29,0,3,0.90625,29,32
115,12,12,12,0,31,32,29,2,3,0.8529411764705882,31,34
116,11,11,11,0,32,32,29,3,3,0.8285714285714286,33,36
117,9,9,9,0,32,32,30,2,2,0.8823529411764706,32,35
118,11,11,11,0,29,32,29,0,3,0.90625,29,32
119,12,12,12,0,31,32,28,3,4,0.8,31,35
120,11,11,11,0,26,32,26,0,6,0.8125,26,32
