metric,E1_added_mean,GAP_displaced_mean,E1_added_median,GAP_displaced_median,mannwhitney_p,n_E1_added,n_GAP_displaced,pool
correct_count,8.0,3.732394366197183,8.0,4.0,7.390543964208655e-73,262,71,E1_B
group_success_rate,1.0,0.4665492957746479,1.0,0.5,7.390543964208655e-73,262,71,E1_B
cost_all_mean,1.8206106870229009,1.6566901408450705,1.6875,1.0,4.3258690304188646e-05,262,71,E1_B
cost_correct_mean,1.8206106870229009,1.671361502347418,1.6875,1.0,1.677739527120557e-05,262,71,E1_B
cost_gap_correct,1.0916030534351144,0.014084507042253521,1.0,0.0,1.0747343052053451e-61,262,71,E1_B
queries_all_mean,2.3268129770992365,2.4806338028169015,2.25,2.0,0.8452183515997185,262,71,E1_B
tokens_all_mean,1518.0906488549617,1543.8098591549297,1477.8125,1334.875,0.5561560936253594,262,71,E1_B
turns_all_mean,2.8206106870229006,2.6566901408450705,2.6875,2.0,4.3258690304188646e-05,262,71,E1_B
all_correct_rate,1.0,0.0,,,2.1349719298268967e-74,262,71,E1_B
mixed_rate,0.0,1.0,,,2.1349719298268967e-74,262,71,E1_B
all_wrong_rate,0.0,0.0,,,1.0,262,71,E1_B
