global_step,calls_observed,candidate_groups,retained_observed_shaped,retained_counterfactual_GAP,candidate_em,all_correct_rate,mixed_rate,active_efficiency_groups,group_success_rate_mean,search_rounds_mean
71,7,1120,32,27,0.46529017857142857,0.45267857142857143,0.024107142857142858,5,0.46529017857142857,1.4308035714285714
72,13,2080,34,26,0.4582331730769231,0.4519230769230769,0.0125,10,0.4582331730769231,1.4296274038461538
73,9,1440,36,29,0.4444444444444444,0.43472222222222223,0.02013888888888889,8,0.4444444444444444,1.4348958333333333
74,9,1440,35,30,0.46458333333333335,0.45555555555555555,0.020833333333333332,6,0.46458333333333335,1.4090277777777778
75,8,1280,32,26,0.45859375,0.44765625,0.0203125,6,0.45859375,1.465234375
76,8,1280,33,26,0.47080078125,0.4609375,0.0203125,9,0.47080078125,1.43330078125
77,10,1600,32,25,0.4646875,0.456875,0.015625,7,0.4646875,1.3946875
78,14,2240,34,29,0.46958705357142855,0.4625,0.012946428571428572,6,0.46958705357142855,1.4175223214285715
79,9,1440,35,31,0.43506944444444445,0.4236111111111111,0.021527777777777778,6,0.43506944444444445,1.4084201388888888
80,13,2080,34,24,0.4512019230769231,0.44567307692307695,0.011538461538461539,10,0.4512019230769231,1.40703125
81,7,1120,32,27,0.45535714285714285,0.4419642857142857,0.024107142857142858,5,0.45535714285714285,1.4352678571428572
82,8,1280,32,28,0.45322265625,0.4421875,0.021875,4,0.45322265625,1.4107421875
83,13,2080,35,27,0.4433293269230769,0.43701923076923077,0.012980769230769231,8,0.4433293269230769,1.4309495192307693
84,11,1760,34,31,0.4630681818181818,0.45397727272727273,0.017613636363636363,3,0.4630681818181818,1.3911931818181817
85,7,1120,34,27,0.43716517857142856,0.42232142857142857,0.024107142857142858,8,0.43716517857142856,1.3863839285714286
86,9,1440,33,27,0.4505208333333333,0.4409722222222222,0.01875,6,0.4505208333333333,1.391232638888889
87,11,1760,36,26,0.4614346590909091,0.45454545454545453,0.014772727272727272,11,0.4614346590909091,1.396377840909091
88,9,1440,34,27,0.46493055555555557,0.45625,0.01875,7,0.46493055555555557,1.3663194444444444
89,11,1760,32,27,0.43998579545454547,0.4318181818181818,0.01534090909090909,5,0.43998579545454547,1.3796875
90,11,1760,34,28,0.46399147727272727,0.4556818181818182,0.015909090909090907,6,0.46399147727272727,1.3674005681818182
91,8,1280,34,29,0.45087890625,0.43984375,0.02265625,5,0.45087890625,1.38291015625
92,9,1440,33,28,0.4675347222222222,0.45902777777777776,0.019444444444444445,6,0.4675347222222222,1.3693576388888888
93,10,1600,32,23,0.472109375,0.464375,0.014375,9,0.472109375,1.341640625
94,10,1600,35,29,0.457109375,0.4475,0.018125,7,0.457109375,1.336953125
95,8,1280,35,26,0.4626953125,0.45234375,0.0203125,10,0.4626953125,1.3529296875
96,9,1440,36,28,0.4743923611111111,0.4638888888888889,0.019444444444444445,8,0.4743923611111111,1.3483506944444446
97,10,1600,32,27,0.444453125,0.436875,0.016875,5,0.444453125,1.3128125
98,10,1600,36,26,0.4515625,0.44375,0.01625,10,0.4515625,1.311640625
99,11,1760,34,28,0.43771306818181815,0.4289772727272727,0.015909090909090907,6,0.43771306818181815,1.3108664772727272
100,12,1920,34,31,0.455078125,0.4473958333333333,0.016145833333333335,3,0.455078125,1.2923177083333333
101,8,1280,35,32,0.48564453125,0.47265625,0.025,3,0.48564453125,1.29189453125
102,11,1760,33,26,0.45788352272727273,0.4511363636363636,0.014772727272727272,7,0.45788352272727273,1.29921875
103,9,1440,33,30,0.4453125,0.43472222222222223,0.020833333333333332,3,0.4453125,1.2975694444444446
104,11,1760,32,25,0.47294034090909093,0.46647727272727274,0.014204545454545454,7,0.47294034090909093,1.2855823863636364
105,11,1760,33,28,0.44176136363636365,0.4335227272727273,0.015909090909090907,5,0.44176136363636365,1.2777698863636364
106,9,1440,34,27,0.4525173611111111,0.4423611111111111,0.01875,7,0.4525173611111111,1.3143229166666666
107,9,1440,32,29,0.484375,0.47430555555555554,0.02013888888888889,3,0.484375,1.2522569444444445
108,12,1920,34,28,0.43678385416666665,0.4296875,0.014583333333333334,6,0.43678385416666665,1.2573567708333333
109,9,1440,33,29,0.4537326388888889,0.4444444444444444,0.02013888888888889,5,0.4537326388888889,1.2604166666666667
110,13,2080,34,31,0.45072115384615385,0.44375,0.014903846153846155,3,0.45072115384615385,1.2396033653846155
111,10,1600,32,28,0.45171875,0.443125,0.0175,4,0.45171875,1.244921875
112,10,1600,36,34,0.46953125,0.4575,0.02125,2,0.46953125,1.21875
113,8,1280,34,31,0.453125,0.44140625,0.02421875,3,0.453125,1.269921875
114,11,1760,32,29,0.4578125,0.44772727272727275,0.016477272727272726,4,0.4578125,1.235724431818182
115,12,1920,34,31,0.46731770833333336,0.459375,0.016145833333333335,4,0.46731770833333336,1.234765625
116,11,1760,36,33,0.4779119318181818,0.46875,0.01875,3,0.4779119318181818,1.2538352272727273
117,9,1440,35,32,0.453125,0.4423611111111111,0.022222222222222223,3,0.453125,1.218576388888889
118,11,1760,32,29,0.45674715909090907,0.44829545454545455,0.016477272727272726,3,0.45674715909090907,1.2110795454545455
119,12,1920,35,31,0.45364583333333336,0.44583333333333336,0.016145833333333335,4,0.45364583333333336,1.233984375
120,11,1760,32,26,0.45170454545454547,0.44431818181818183,0.014772727272727272,7,0.45170454545454547,1.219247159090909
