group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
1:168047,1,71,168047,hotpotqa,8,8,False,True,False,1.0,2.625,2.625,2.0,3.0,1.0,2.625,3.625,1994.375,True,False,True,True,False,False
2:28926,2,71,28926,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,2.625,2.625,1550.5,True,False,True,True,False,False
3:97704,3,71,97704,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,931.0,True,False,True,True,False,False
3:8143,3,71,8143,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,799.625,True,False,True,True,False,False
6:77010,6,71,77010,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,1.75,2.75,1286.0,True,False,True,True,False,False
7:87373,7,72,87373,hotpotqa,8,8,False,True,False,1.0,4.125,4.125,4.0,5.0,1.0,6.125,5.125,3359.375,True,False,True,True,False,False
7:115866,7,72,115866,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1258.875,True,False,True,True,False,False
9:116014,9,72,116014,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1534.625,True,False,True,True,False,False
13:157589,13,72,157589,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.25,2.25,1495.0,True,False,True,True,False,False
15:5483,15,72,5483,nq,8,8,False,True,False,1.0,2.25,2.25,2.0,4.0,2.0,2.25,3.25,1481.625,True,False,True,True,False,False
17:153731,17,72,153731,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,2.0,3.0,1.0,2.125,3.125,1495.5,True,False,True,True,False,False
18:50727,18,72,50727,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1127.5,True,False,True,True,False,False
19:16120,19,72,16120,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,790.375,True,False,True,True,False,False
21:112832,21,73,112832,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1151.0,True,False,True,True,False,False
23:121064,23,73,121064,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1654.5,True,False,True,True,False,False
26:62949,26,73,62949,nq,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1039.5,True,False,True,True,False,False
27:142310,27,73,142310,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1683.125,True,False,True,True,False,False
28:92791,28,73,92791,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1475.875,True,False,True,True,False,False
28:30642,28,73,30642,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1732.25,True,False,True,True,False,False
28:19310,28,73,19310,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,4.0,2.75,2107.0,True,False,True,True,False,False
29:134529,29,74,134529,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,1.0,4.0,3.0,3.125,3.125,1913.875,True,False,True,True,False,False
32:59146,32,74,59146,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1098.875,True,False,True,True,False,False
33:127126,33,74,127126,hotpotqa,8,8,False,True,False,1.0,3.875,3.875,3.0,4.0,1.0,3.875,4.875,2348.0,True,False,True,True,False,False
36:155392,36,74,155392,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.75,2.875,1844.25,True,False,True,True,False,False
36:151061,36,74,151061,hotpotqa,8,8,False,True,False,1.0,2.875,2.875,2.0,3.0,1.0,2.875,3.875,1741.0,True,False,True,True,False,False
38:166008,38,75,166008,hotpotqa,8,8,False,True,False,1.0,2.75,2.75,2.0,3.0,1.0,2.75,3.75,1674.75,True,False,True,True,False,False
39:126879,39,75,126879,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1695.625,True,False,True,True,False,False
40:84947,40,75,84947,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1748.25,True,False,True,True,False,False
42:106778,42,75,106778,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,3.0,3.375,1847.375,True,False,True,True,False,False
44:81951,44,75,81951,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1909.125,True,False,True,True,False,False
44:105371,44,75,105371,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1662.25,True,False,True,True,False,False
46:44905,46,76,44905,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1552.5,True,False,True,True,False,False
46:28363,46,76,28363,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,3.25,2.25,1855.0,True,False,True,True,False,False
46:133468,46,76,133468,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1398.875,True,False,True,True,False,False
47:65042,47,76,65042,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,3.0,2.0,1.25,2.25,1010.75,True,False,True,True,False,False
49:36786,49,76,36786,nq,8,8,False,True,False,1.0,2.875,2.875,2.0,3.0,1.0,2.875,3.875,2056.875,True,False,True,True,False,False
51:90321,51,76,90321,hotpotqa,8,8,False,True,False,1.0,2.75,2.75,2.0,3.0,1.0,2.75,3.75,1782.0,True,False,True,True,False,False
53:23809,53,76,23809,nq,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1396.25,True,False,True,True,False,False
54:86004,54,77,86004,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1753.5,True,False,True,True,False,False
55:83312,55,77,83312,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1408.875,True,False,True,True,False,False
56:130502,56,77,130502,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1537.0,True,False,True,True,False,False
57:4183,57,77,4183,nq,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1341.0,True,False,True,True,False,False
58:91271,58,77,91271,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1828.375,True,False,True,True,False,False
59:161525,59,77,161525,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,3.0,2.0,2.25,2.25,1517.25,True,False,True,True,False,False
62:118312,62,77,118312,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1313.625,True,False,True,True,False,False
64:55606,64,78,55606,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1355.5,True,False,True,True,False,False
66:153580,66,78,153580,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1637.125,True,False,True,True,False,False
71:103486,71,78,103486,hotpotqa,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1085.25,True,False,True,True,False,False
74:93361,74,78,93361,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.0,2.25,1268.75,True,False,True,True,False,False
76:150523,76,78,150523,hotpotqa,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1584.625,True,False,True,True,False,False
79:141359,79,79,141359,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1066.75,True,False,True,True,False,False
81:44194,81,79,44194,nq,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,1.875,2.875,1287.75,True,False,True,True,False,False
85:29993,85,79,29993,nq,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1474.625,True,False,True,True,False,False
86:5554,86,79,5554,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,1.375,2.375,922.375,True,False,True,True,False,False
90:152428,90,80,152428,hotpotqa,8,8,False,True,False,1.0,2.25,2.25,2.0,3.0,1.0,3.25,3.25,1901.75,True,False,True,True,False,False
90:90167,90,80,90167,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,1885.5,True,False,True,True,False,False
91:151625,91,80,151625,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,1.375,2.375,932.125,True,False,True,True,False,False
93:114726,93,80,114726,hotpotqa,8,8,False,True,False,1.0,2.875,2.875,2.0,3.0,1.0,2.875,3.875,1993.375,True,False,True,True,False,False
93:11795,93,80,11795,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,829.875,True,False,True,True,False,False
93:70097,93,80,70097,nq,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1032.0,True,False,True,True,False,False
95:99630,95,80,99630,hotpotqa,8,8,False,True,False,1.0,2.5,2.5,2.0,3.0,1.0,2.5,3.5,1603.0,True,False,True,True,False,False
95:136129,95,80,136129,hotpotqa,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,2.0,2.625,1360.125,True,False,True,True,False,False
96:145288,96,80,145288,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1651.25,True,False,True,True,False,False
97:155810,97,80,155810,hotpotqa,8,8,False,True,False,1.0,2.25,2.25,2.0,3.0,1.0,2.25,3.25,1682.75,True,False,True,True,False,False
100:24573,100,81,24573,nq,8,8,False,True,False,1.0,3.75,3.75,2.0,4.0,2.0,3.75,4.75,1986.125,True,False,True,True,False,False
101:143226,101,81,143226,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1461.125,True,False,True,True,False,False
102:142188,102,81,142188,hotpotqa,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.0,2.375,1310.0,True,False,True,True,False,False
104:17568,104,81,17568,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1531.625,True,False,True,True,False,False
106:161108,106,81,161108,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,2.0,3.0,1.0,2.125,3.125,1374.25,True,False,True,True,False,False
107:29328,107,82,29328,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,1.25,2.25,858.25,True,False,True,True,False,False
108:151819,108,82,151819,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1821.0,True,False,True,True,False,False
111:124181,111,82,124181,hotpotqa,8,8,False,True,False,1.0,1.625,1.625,1.0,2.0,1.0,1.625,2.625,1041.875,True,False,True,True,False,False
114:39663,114,82,39663,nq,8,8,False,True,False,1.0,3.875,3.875,2.0,5.0,3.0,3.875,4.875,2204.5,True,False,True,True,False,False
117:145328,117,83,145328,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1343.5,True,False,True,True,False,False
117:73099,117,83,73099,nq,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,1.75,2.75,1241.25,True,False,True,True,False,False
117:45257,117,83,45257,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.125,2.125,1285.625,True,False,True,True,False,False
118:39068,118,83,39068,nq,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,1.625,2.25,1070.0,True,False,True,True,False,False
123:55112,123,83,55112,nq,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1493.25,True,False,True,True,False,False
123:60303,123,83,60303,nq,8,8,False,True,False,1.0,2.375,2.375,2.0,3.0,1.0,2.375,3.375,1749.875,True,False,True,True,False,False
126:87691,126,83,87691,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.0,2.75,1229.75,True,False,True,True,False,False
127:53274,127,83,53274,nq,8,8,False,True,False,1.0,1.375,1.375,1.0,2.0,1.0,2.375,2.375,1448.625,True,False,True,True,False,False
128:137656,128,84,137656,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.75,2.75,1659.75,True,False,True,True,False,False
129:89801,129,84,89801,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,2.5,2.5,1606.0,True,False,True,True,False,False
136:134563,136,84,134563,hotpotqa,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1074.5,True,False,True,True,False,False
139:128386,139,85,128386,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,3.625,2.875,1944.875,True,False,True,True,False,False
140:57077,140,85,57077,nq,8,8,False,True,False,1.0,2.75,2.75,2.0,4.0,2.0,2.75,3.75,1706.375,True,False,True,True,False,False
141:131387,141,85,131387,hotpotqa,8,8,False,True,False,1.0,2.125,2.125,2.0,3.0,1.0,2.125,3.125,1423.75,True,False,True,True,False,False
141:90691,141,85,90691,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.25,2.25,1419.75,True,False,True,True,False,False
142:139400,142,85,139400,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1754.625,True,False,True,True,False,False
