group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
0:70877,0,71,70877,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,1.25,2.0,928.0,False,True,True,False,False,True
0:84701,0,71,84701,hotpotqa,8,3,False,False,True,0.375,1.875,2.0,2.0,2.0,0.0,2.875,2.875,1585.625,False,True,True,False,False,True
0:153308,0,71,153308,hotpotqa,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1271.875,False,True,True,False,False,True
0:166307,0,71,166307,hotpotqa,8,7,False,False,True,0.875,3.875,4.0,4.0,4.0,0.0,4.875,4.875,2686.125,False,True,True,False,False,True
0:140171,0,71,140171,hotpotqa,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1224.5,False,True,True,False,False,True
0:35009,0,71,35009,nq,8,4,False,False,True,0.5,1.5,2.0,2.0,2.0,0.0,1.5,2.5,1050.5,False,True,True,False,False,True
1:109955,1,71,109955,hotpotqa,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1164.5,False,True,True,False,False,True
2:33366,2,71,33366,nq,8,5,False,False,True,0.625,1.375,1.0,1.0,1.0,0.0,2.375,2.375,1484.625,False,True,True,False,False,True
2:67972,2,71,67972,nq,8,4,False,False,True,0.5,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1240.5,False,True,True,False,False,True
2:82813,2,71,82813,hotpotqa,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1221.75,False,True,True,False,False,True
2:63518,2,71,63518,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1653.0,False,True,True,False,False,True
3:33905,3,71,33905,nq,8,4,False,False,True,0.5,3.5,4.0,4.0,4.0,0.0,3.5,4.5,2019.0,False,True,True,False,False,True
4:152281,4,71,152281,hotpotqa,8,2,False,False,True,0.25,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1380.25,False,True,True,False,False,True
4:76927,4,71,76927,nq,8,5,False,False,True,0.625,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1783.625,False,True,True,False,False,True
5:99723,5,71,99723,hotpotqa,8,2,False,False,True,0.25,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1443.0,False,True,True,False,False,True
5:7405,5,71,7405,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1248.0,False,True,True,False,False,True
5:11051,5,71,11051,nq,8,4,False,False,True,0.5,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1304.625,False,True,True,False,False,True
5:148774,5,71,148774,hotpotqa,8,2,False,False,True,0.25,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1987.0,False,True,True,False,False,True
5:126882,5,71,126882,hotpotqa,8,5,False,False,True,0.625,1.625,2.0,2.0,2.0,0.0,1.625,2.625,973.875,False,True,True,False,False,True
5:22489,5,71,22489,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1176.75,False,True,True,False,False,True
5:19442,5,71,19442,nq,8,4,False,False,True,0.5,1.5,2.0,2.0,2.0,0.0,2.5,2.5,1477.5,False,True,True,False,False,True
5:98714,5,71,98714,hotpotqa,8,4,False,False,True,0.5,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1825.5,False,True,True,False,False,True
5:79768,5,71,79768,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1195.125,False,True,True,False,False,True
6:84186,6,71,84186,hotpotqa,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1920.75,False,True,True,False,False,True
6:143160,6,71,143160,hotpotqa,8,5,False,False,True,0.625,1.375,1.0,1.0,1.0,0.0,1.375,2.375,1019.375,False,True,True,False,False,True
6:63200,6,71,63200,nq,8,5,False,False,True,0.625,1.375,1.0,1.0,1.0,0.0,1.375,2.375,948.625,False,True,True,False,False,True
6:100808,6,71,100808,hotpotqa,8,5,False,False,True,0.625,2.0,2.0,2.0,2.0,0.0,2.0,3.0,5265.5,False,True,True,False,False,True
7:122072,7,72,122072,hotpotqa,8,7,False,False,True,0.875,1.625,1.2857142857142858,1.0,3.0,2.0,2.625,2.625,1673.375,True,True,True,False,False,True
7:61527,7,72,61527,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1158.875,False,True,True,False,False,True
8:92567,8,72,92567,hotpotqa,8,1,False,False,True,0.125,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1428.125,False,True,True,False,False,True
