group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection
0:168319,0,71,168319,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1833.25,False,False,False,False,False,False
0:129705,0,71,129705,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1164.0,False,False,False,False,False,False
0:69974,0,71,69974,nq,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1712.0,False,False,False,False,False,False
0:117252,0,71,117252,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1314.0,False,False,False,False,False,False
0:130590,0,71,130590,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1358.125,False,False,False,False,False,False
0:19326,0,71,19326,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,638.0,False,False,False,False,False,False
0:22121,0,71,22121,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,626.0,False,False,False,False,False,False
0:49900,0,71,49900,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,721.0,False,False,False,False,False,False
0:80613,0,71,80613,hotpotqa,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,2046.0,False,False,False,False,False,False
0:114636,0,71,114636,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1301.0,False,False,False,False,False,False
0:108350,0,71,108350,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1325.0,False,False,False,False,False,False
0:152634,0,71,152634,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,3.0,3.0,1753.0,False,False,False,False,False,False
0:87329,0,71,87329,hotpotqa,8,0,True,False,False,0.0,1.25,,,,0.0,2.25,2.25,1445.25,False,False,False,False,False,False
0:105503,0,71,105503,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1303.0,False,False,False,False,False,False
0:4016,0,71,4016,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1174.25,False,False,False,False,False,False
0:91725,0,71,91725,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1407.0,False,False,False,False,False,False
0:66605,0,71,66605,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1262.0,False,False,False,False,False,False
0:152649,0,71,152649,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1316.0,False,False,False,False,False,False
0:137885,0,71,137885,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,3.0,3.0,1901.0,False,False,False,False,False,False
0:136906,0,71,136906,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1274.0,False,False,False,False,False,False
0:84496,0,71,84496,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1385.0,False,False,False,False,False,False
0:89906,0,71,89906,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,765.0,False,False,False,False,False,False
0:133879,0,71,133879,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1342.5,False,False,False,False,False,False
0:87713,0,71,87713,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,749.0,False,False,False,False,False,False
0:151955,0,71,151955,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1212.0,False,False,False,False,False,False
0:66941,0,71,66941,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1282.0,False,False,False,False,False,False
0:95775,0,71,95775,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1323.0,False,False,False,False,False,False
0:115237,0,71,115237,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1370.0,False,False,False,False,False,False
0:6209,0,71,6209,nq,8,0,True,False,False,0.0,3.0,,,,0.0,3.0,4.0,1916.0,False,False,False,False,False,False
0:34655,0,71,34655,nq,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1192.0,False,False,False,False,False,False
0:58647,0,71,58647,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1257.0,False,False,False,False,False,False
0:65575,0,71,65575,nq,8,0,True,False,False,0.0,1.0,,,,0.0,3.0,2.0,1744.0,False,False,False,False,False,False
0:27014,0,71,27014,nq,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1185.0,False,False,False,False,False,False
0:99574,0,71,99574,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,728.0,False,False,False,False,False,False
0:121648,0,71,121648,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1375.0,False,False,False,False,False,False
0:118764,0,71,118764,hotpotqa,8,8,False,True,False,1.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,1430.0,False,False,False,False,False,False
0:35696,0,71,35696,nq,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1207.25,False,False,False,False,False,False
0:99262,0,71,99262,hotpotqa,8,0,True,False,False,0.0,4.0,,,,0.0,4.0,5.0,2519.0,False,False,False,False,False,False
0:82528,0,71,82528,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1277.0,False,False,False,False,False,False
0:120065,0,71,120065,hotpotqa,8,0,True,False,False,0.0,1.0,,,,0.0,2.0,2.0,1462.0,False,False,False,False,False,False
0:109530,0,71,109530,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,688.0,False,False,False,False,False,False
0:86063,0,71,86063,hotpotqa,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1292.0,False,False,False,False,False,False
0:71694,0,71,71694,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,729.0,False,False,False,False,False,False
0:74417,0,71,74417,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,732.0,False,False,False,False,False,False
0:70877,0,71,70877,nq,8,6,False,False,True,0.75,1.0,1.0,1.0,1.0,0.0,1.25,2.0,928.0,False,True,True,False,False,True
0:32003,0,71,32003,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,777.0,False,False,False,False,False,False
0:8699,0,71,8699,nq,8,8,False,True,False,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1232.0,False,False,False,False,False,False
0:115800,0,71,115800,hotpotqa,8,0,True,False,False,0.0,2.0,,,,0.0,2.0,3.0,1306.125,False,False,False,False,False,False
0:73141,0,71,73141,nq,8,0,True,False,False,0.0,1.0,,,,0.0,1.0,2.0,729.0,False,False,False,False,False,False
