checkpoint,window,n_rollouts,n_groups,mean_reward,mean_em,mean_efficiency_bonus,active_efficiency_groups,retained_groups_shaped,retained_groups_baseline_em,newly_added_by_shaping,mean_search_batches,mean_queries,parallel_factor,mean_conversation_turns,mean_response_tokens,zero_search_rate,zero_search_correct_count,metadata_invalid
global_step_80,window_10step,136960,17120,0.460455,0.460317,0.002760,92,406,334,72,1.464720,2.002351,1.495400,2.464661,1286.100445,0.000175,0,0
global_step_80,cumulative,136960,17120,0.460455,0.460317,0.002760,92,406,334,72,1.464720,2.002351,1.495400,2.464661,1286.100445,0.000175,0,0
global_step_90,window_10step,148480,18560,0.458859,0.458735,0.002470,94,421,334,87,1.499865,2.040820,1.493756,2.499811,1309.833890,0.000323,0,0
global_step_90,cumulative,285440,35680,0.459625,0.459494,0.002609,186,827,668,159,1.483002,2.022362,1.494545,2.482946,1298.446094,0.000252,0,0
global_step_100,window_10step,130560,16320,0.465836,0.465686,0.002991,101,424,340,84,1.508487,2.061795,1.500727,2.508364,1319.423085,0.000306,0,0
global_step_100,cumulative,416000,52000,0.461574,0.461438,0.002729,287,1251,1008,243,1.491000,2.034738,1.496485,2.490923,1305.029642,0.000269,0,0
global_step_110,window_10step,121600,15200,0.463178,0.463010,0.003365,110,417,332,85,1.526217,2.069696,1.488707,2.526151,1327.593125,0.000066,0,0
global_step_110,cumulative,537600,67200,0.461937,0.461793,0.002873,397,1668,1340,328,1.498966,2.042645,1.494726,2.498891,1310.133287,0.000223,0,0
global_step_120,window_10step,131840,16480,0.469850,0.469668,0.003646,123,445,339,106,1.508586,2.049082,1.487644,2.508525,1318.704225,0.000182,0,0
global_step_120,cumulative,669440,83680,0.463495,0.463344,0.003025,520,2113,1679,434,1.500860,2.043913,1.493331,2.500789,1311.821254,0.000215,0,0
