checkpoint,window,n_rollouts,n_groups,mean_reward,mean_em,mean_efficiency_bonus,active_efficiency_groups,retained_groups_shaped,retained_groups_baseline_em,newly_added_by_shaping,mean_search_batches,mean_queries,parallel_factor,mean_conversation_turns,mean_response_tokens,zero_search_rate,zero_search_correct_count,metadata_invalid
global_step_80,window_10step,11520,1440,0.479338,0.478993,0.006901,0,0,0,0,1.500000,2.068229,1.512377,2.500000,1323.887326,0.000000,0,0
global_step_80,cumulative,11520,1440,0.479338,0.478993,0.006901,0,0,0,0,1.500000,2.068229,1.512377,2.500000,1323.887326,0.000000,0,0
global_step_90,window_10step,3840,480,0.503698,0.502604,0.021875,0,0,0,0,1.722917,2.318490,1.488246,2.722917,1464.329688,0.000000,0,0
global_step_90,cumulative,15360,1916,0.485428,0.484896,0.010645,0,0,0,0,1.555729,2.130794,1.506345,2.555729,1358.997917,0.000000,0,0
global_step_100,window_10step,11520,1438,0.477977,0.477431,0.010937,0,0,0,0,1.524392,2.107205,1.522327,2.524392,1351.437326,0.000000,0,0
global_step_100,cumulative,26880,3339,0.482235,0.481696,0.010770,0,0,0,0,1.542299,2.120685,1.513194,2.542299,1355.757664,0.000000,0,0
global_step_110,window_10step,8960,1120,0.483672,0.483259,0.008259,0,0,0,0,1.501339,2.086942,1.527128,2.501339,1348.295089,0.000000,0,0
global_step_110,cumulative,35840,4447,0.482594,0.482087,0.010142,0,0,0,0,1.532059,2.112249,1.516678,2.532059,1353.892020,0.000000,0,0
global_step_120,window_10step,7680,960,0.512487,0.511849,0.012760,0,0,0,0,1.483333,2.065104,1.524414,2.483333,1339.082292,0.000000,0,0
global_step_120,cumulative,43520,5396,0.487869,0.487339,0.010604,0,0,0,0,1.523460,2.103929,1.518043,2.523460,1351.278539,0.000000,0,0
