group_id,global_step,uid,data_source,k,cost_min_correct,cost_max_correct,cost_gap,cost_all_mean,queries_all_mean,tokens_all_mean,queries_per_round_mean,efficient_rounds,inefficient_rounds,efficient_queries,inefficient_queries,efficient_tokens,inefficient_tokens,E_max,E_std,efficiency_rank_correct
0:73273,71,73273,nq,8,1.0,2.0,1.0,1.875,2.875,1799.875,1.5625,1.0,2.0,2.0,3.0,1186.0,1887.5714285714287,1.0,0.3535533905932738,True
0:133097,71,133097,hotpotqa,8,1.0,2.0,1.0,1.875,1.875,1192.5,1.0,1.0,2.0,1.0,2.0,685.0,1265.0,1.0,0.3535533905932738,True
1:21451,71,21451,nq,8,1.0,2.0,1.0,1.625,2.625,1624.0,1.6875,1.0,2.0,2.0,3.0,1283.0,1828.6,1.0,0.5175491695067657,True
2:84075,71,84075,hotpotqa,8,1.0,2.0,1.0,1.25,1.25,939.25,1.0,1.0,2.0,1.0,2.0,791.0,1384.0,1.0,0.4629100498862757,True
3:168661,71,168661,hotpotqa,8,2.0,3.0,1.0,2.125,3.125,2057.375,1.4791666666666665,2.0,3.0,3.0,4.0,1986.0,2557.0,1.0,0.3535533905932738,True
5:127435,71,127435,hotpotqa,8,1.0,2.0,1.0,1.875,2.875,1835.25,1.5625,1.0,2.0,2.0,3.0,1340.0,1906.0,1.0,0.3535533905932738,True
6:147267,71,147267,hotpotqa,8,2.0,3.0,1.0,2.125,2.125,1344.5,1.0,2.0,3.0,2.0,3.0,1275.2857142857142,1829.0,1.0,0.3535533905932738,True
10:95147,72,95147,hotpotqa,8,1.0,3.0,2.0,1.75,2.75,1514.875,1.75,1.0,3.0,2.0,4.0,1297.0,1878.0,1.0,0.5175491695067657,True
12:125705,72,125705,hotpotqa,8,2.0,3.0,1.0,2.625,2.625,1841.75,1.0,2.0,3.0,2.0,3.0,1483.0,2057.0,1.0,0.5175491695067657,True
14:121064,72,121064,hotpotqa,8,2.0,3.0,1.0,2.125,2.125,1293.875,1.0,2.0,3.0,2.0,3.0,1228.0,1755.0,1.0,0.3535533905932738,True
18:166147,72,166147,hotpotqa,8,1.0,2.0,1.0,1.75,1.75,1165.5,1.0,1.0,2.0,1.0,2.0,720.0,1314.0,1.0,0.4629100498862757,True
19:47525,72,47525,nq,8,1.0,2.0,1.0,1.5,1.5,1066.5,1.0,1.0,2.0,1.0,2.0,797.0,1336.0,1.0,0.5345224838248488,True
20:134529,72,134529,hotpotqa,8,1.0,4.0,3.0,3.625,4.625,2294.5,1.34375,1.0,4.0,2.0,5.0,1220.0,2448.0,1.0,0.3535533905932738,True
23:123004,73,123004,hotpotqa,8,1.0,2.0,1.0,1.125,1.125,837.75,1.0,1.0,2.0,1.0,2.0,768.0,1326.0,1.0,0.3535533905932738,True
25:163884,73,163884,hotpotqa,8,1.0,2.0,1.0,1.625,2.625,1714.75,1.6875,1.0,2.0,2.0,3.0,1331.0,1945.0,1.0,0.5175491695067657,True
27:20176,73,20176,nq,8,1.0,2.0,1.0,1.25,1.25,995.0,1.0,1.0,2.0,1.0,2.0,856.0,1412.0,1.0,0.4629100498862757,True
27:151061,73,151061,hotpotqa,8,3.0,4.0,1.0,3.125,3.125,1846.75,1.0,3.0,4.0,3.0,4.0,1779.0,2321.0,1.0,0.3535533905932738,True
27:56409,73,56409,nq,8,1.0,2.0,1.0,1.5,1.5,1079.0,1.0,1.0,2.0,1.0,2.0,828.0,1330.0,1.0,0.5345224838248488,True
28:143259,73,143259,hotpotqa,8,1.0,2.0,1.0,1.125,1.125,732.0,1.0,1.0,2.0,1.0,2.0,671.0,1159.0,1.0,0.3535533905932738,True
30:126879,73,126879,hotpotqa,8,1.0,2.0,1.0,1.25,2.25,1388.25,1.875,1.0,2.0,2.0,3.0,1252.0,1797.0,1.0,0.4629100498862757,True
32:82298,73,82298,hotpotqa,8,3.0,4.0,1.0,3.75,4.75,2988.5,1.2708333333333333,3.0,4.0,4.0,5.0,2528.0,3142.0,1.0,0.4629100498862757,True
32:111644,73,111644,hotpotqa,8,2.0,3.0,1.0,2.25,3.25,2033.75,1.4583333333333333,2.0,3.0,3.0,4.0,1883.0,2486.0,1.0,0.4629100498862757,True
36:100281,74,100281,hotpotqa,8,2.0,3.0,1.0,2.875,3.125,1971.5,1.125,2.0,3.0,4.0,3.0,2360.0,1916.0,1.0,0.3535533905932738,True
37:56613,74,56613,nq,8,1.0,2.0,1.0,1.125,1.125,775.625,1.0,1.0,2.0,1.0,2.0,705.0,1270.0,1.0,0.3535533905932738,True
38:2783,74,2783,nq,8,2.0,4.0,2.0,3.5,4.0,2342.0,1.125,2.0,4.0,2.0,4.666666666666667,1283.0,2695.0,1.0,0.4629100498862757,True
