global_step,q,group_id,role,uid,data_source,k,group_success_rate,cost_all_mean,cost_correct_mean,cost_gap_correct,queries_all_mean,tokens_all_mean,turns_all_mean,call_index
71,0,0:151196,mixed,151196,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1383.75,2.0,0
71,0,0:35710,mixed,35710,nq,2,0.25,3.375,2.5,1.0,3.375,1920.75,4.375,0
71,0,0:104989,mixed,104989,hotpotqa,1,0.125,2.25,2.0,0.0,3.25,1986.875,3.25,0
71,0,1:104900,mixed,104900,hotpotqa,2,0.25,2.75,2.0,0.0,2.75,1994.5,3.75,1
71,0,1:98963,mixed,98963,hotpotqa,2,0.25,3.0,3.0,0.0,4.0,2178.5,4.0,1
71,0,2:3150,mixed,3150,nq,6,0.75,1.0,1.0,0.0,1.0,709.75,2.0,2
71,0,2:6362,mixed,6362,nq,7,0.875,1.0,1.0,0.0,1.125,716.0,2.0,2
71,0,2:117164,mixed,117164,hotpotqa,3,0.375,1.625,2.6666666666666665,1.0,2.25,1455.5,2.625,2
71,0,2:89516,mixed,89516,hotpotqa,4,0.5,1.0,1.0,0.0,3.0,1805.375,2.0,2
71,0,2:43616,mixed,43616,nq,1,0.125,2.0,2.0,0.0,3.0,1858.125,3.0,2
71,0,3:107296,mixed,107296,hotpotqa,6,0.75,1.75,2.0,0.0,2.75,1871.5,2.75,3
71,0,3:39092,mixed,39092,nq,7,0.875,1.0,1.0,0.0,2.0,1435.875,2.0,3
71,0,3:82068,mixed,82068,hotpotqa,3,0.375,2.0,2.0,0.0,2.0,1356.75,3.0,3
71,0,3:34954,mixed,34954,nq,3,0.375,2.375,3.0,0.0,3.375,2033.875,3.375,3
71,0,3:118752,mixed,118752,hotpotqa,1,0.125,1.125,2.0,0.0,2.125,1296.0,2.125,3
71,0,4:62624,mixed,62624,nq,3,0.375,2.0,2.0,0.0,2.0,1314.5,3.0,4
71,0,4:42674,mixed,42674,nq,6,0.75,1.0,1.0,0.0,2.0,1383.0,2.0,4
71,0,5:59899,mixed,59899,nq,1,0.125,2.25,3.0,0.0,2.25,1490.875,3.25,5
71,0,5:94472,mixed,94472,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1363.0,2.0,5
71,0,5:92155,mixed,92155,hotpotqa,6,0.75,2.5,2.3333333333333335,1.0,2.5,1549.0,3.5,5
71,0,5:90972,mixed,90972,hotpotqa,4,0.5,2.0,2.0,0.0,2.0,1275.125,3.0,5
71,0,5:47119,mixed,47119,nq,1,0.125,1.0,1.0,0.0,2.0,1196.25,2.0,5
71,0,5:123875,mixed,123875,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1270.0,2.0,5
71,0,5:118479,mixed,118479,hotpotqa,7,0.875,3.0,3.0,0.0,3.0,1910.375,4.0,5
71,0,6:145207,mixed,145207,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1272.375,2.0,6
71,0,6:71729,mixed,71729,nq,7,0.875,1.0,1.0,0.0,2.0,1360.75,2.0,6
71,0,6:134695,mixed,134695,hotpotqa,1,0.125,1.25,3.0,0.0,1.25,869.0,2.25,6
71,0,7:27257,mixed,27257,nq,7,0.875,1.0,1.0,0.0,2.0,1333.875,2.0,7
71,0,7:150225,mixed,150225,hotpotqa,4,0.5,1.0,1.0,0.0,2.0,1297.5,2.0,7
71,0,7:150541,mixed,150541,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1315.875,2.0,7
71,0,7:114,mixed,114,nq,5,0.625,1.0,1.0,0.0,2.0,1224.5,2.0,7
71,0,8:58083,mixed,58083,nq,4,0.5,1.0,1.0,0.0,2.0,1281.5,2.0,8
71,1,0:151196,mixed,151196,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1383.75,2.0,0
71,1,0:35710,mixed,35710,nq,2,0.25,3.375,2.5,1.0,3.375,1920.75,4.375,0
71,1,0:104989,mixed,104989,hotpotqa,1,0.125,2.25,2.0,0.0,3.25,1986.875,3.25,0
71,1,1:104900,mixed,104900,hotpotqa,2,0.25,2.75,2.0,0.0,2.75,1994.5,3.75,1
71,1,1:98963,mixed,98963,hotpotqa,2,0.25,3.0,3.0,0.0,4.0,2178.5,4.0,1
71,1,2:3150,mixed,3150,nq,6,0.75,1.0,1.0,0.0,1.0,709.75,2.0,2
71,1,2:6362,mixed,6362,nq,7,0.875,1.0,1.0,0.0,1.125,716.0,2.0,2
71,1,2:117164,mixed,117164,hotpotqa,3,0.375,1.625,2.6666666666666665,1.0,2.25,1455.5,2.625,2
71,1,2:89516,mixed,89516,hotpotqa,4,0.5,1.0,1.0,0.0,3.0,1805.375,2.0,2
71,1,2:43616,mixed,43616,nq,1,0.125,2.0,2.0,0.0,3.0,1858.125,3.0,2
71,1,3:107296,mixed,107296,hotpotqa,6,0.75,1.75,2.0,0.0,2.75,1871.5,2.75,3
71,1,3:39092,mixed,39092,nq,7,0.875,1.0,1.0,0.0,2.0,1435.875,2.0,3
71,1,3:82068,mixed,82068,hotpotqa,3,0.375,2.0,2.0,0.0,2.0,1356.75,3.0,3
71,1,3:34954,mixed,34954,nq,3,0.375,2.375,3.0,0.0,3.375,2033.875,3.375,3
71,1,3:118752,mixed,118752,hotpotqa,1,0.125,1.125,2.0,0.0,2.125,1296.0,2.125,3
71,1,4:62624,mixed,62624,nq,3,0.375,2.0,2.0,0.0,2.0,1314.5,3.0,4
71,1,4:42674,mixed,42674,nq,6,0.75,1.0,1.0,0.0,2.0,1383.0,2.0,4
71,1,5:59899,mixed,59899,nq,1,0.125,2.25,3.0,0.0,2.25,1490.875,3.25,5
71,1,5:94472,mixed,94472,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1363.0,2.0,5
71,1,5:92155,mixed,92155,hotpotqa,6,0.75,2.5,2.3333333333333335,1.0,2.5,1549.0,3.5,5
71,1,5:90972,mixed,90972,hotpotqa,4,0.5,2.0,2.0,0.0,2.0,1275.125,3.0,5
71,1,5:47119,mixed,47119,nq,1,0.125,1.0,1.0,0.0,2.0,1196.25,2.0,5
71,1,5:123875,mixed,123875,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1270.0,2.0,5
71,1,5:118479,mixed,118479,hotpotqa,7,0.875,3.0,3.0,0.0,3.0,1910.375,4.0,5
71,1,6:145207,mixed,145207,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1272.375,2.0,6
71,1,6:71729,mixed,71729,nq,7,0.875,1.0,1.0,0.0,2.0,1360.75,2.0,6
71,1,6:134695,mixed,134695,hotpotqa,1,0.125,1.25,3.0,0.0,1.25,869.0,2.25,6
71,1,7:27257,mixed,27257,nq,7,0.875,1.0,1.0,0.0,2.0,1333.875,2.0,7
71,1,7:150225,mixed,150225,hotpotqa,4,0.5,1.0,1.0,0.0,2.0,1297.5,2.0,7
71,1,7:150541,mixed,150541,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1315.875,2.0,7
71,1,7:114,mixed,114,nq,5,0.625,1.0,1.0,0.0,2.0,1224.5,2.0,7
71,1,0:73273,efficiency,73273,nq,8,1.0,1.875,1.875,1.0,2.875,1799.875,2.875,0
71,2,0:151196,mixed,151196,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1383.75,2.0,0
71,2,0:35710,mixed,35710,nq,2,0.25,3.375,2.5,1.0,3.375,1920.75,4.375,0
71,2,0:104989,mixed,104989,hotpotqa,1,0.125,2.25,2.0,0.0,3.25,1986.875,3.25,0
71,2,1:104900,mixed,104900,hotpotqa,2,0.25,2.75,2.0,0.0,2.75,1994.5,3.75,1
71,2,1:98963,mixed,98963,hotpotqa,2,0.25,3.0,3.0,0.0,4.0,2178.5,4.0,1
71,2,2:3150,mixed,3150,nq,6,0.75,1.0,1.0,0.0,1.0,709.75,2.0,2
71,2,2:6362,mixed,6362,nq,7,0.875,1.0,1.0,0.0,1.125,716.0,2.0,2
71,2,2:117164,mixed,117164,hotpotqa,3,0.375,1.625,2.6666666666666665,1.0,2.25,1455.5,2.625,2
71,2,2:89516,mixed,89516,hotpotqa,4,0.5,1.0,1.0,0.0,3.0,1805.375,2.0,2
71,2,2:43616,mixed,43616,nq,1,0.125,2.0,2.0,0.0,3.0,1858.125,3.0,2
71,2,3:107296,mixed,107296,hotpotqa,6,0.75,1.75,2.0,0.0,2.75,1871.5,2.75,3
71,2,3:39092,mixed,39092,nq,7,0.875,1.0,1.0,0.0,2.0,1435.875,2.0,3
71,2,3:82068,mixed,82068,hotpotqa,3,0.375,2.0,2.0,0.0,2.0,1356.75,3.0,3
71,2,3:34954,mixed,34954,nq,3,0.375,2.375,3.0,0.0,3.375,2033.875,3.375,3
71,2,3:118752,mixed,118752,hotpotqa,1,0.125,1.125,2.0,0.0,2.125,1296.0,2.125,3
71,2,4:62624,mixed,62624,nq,3,0.375,2.0,2.0,0.0,2.0,1314.5,3.0,4
71,2,4:42674,mixed,42674,nq,6,0.75,1.0,1.0,0.0,2.0,1383.0,2.0,4
71,2,5:59899,mixed,59899,nq,1,0.125,2.25,3.0,0.0,2.25,1490.875,3.25,5
71,2,5:94472,mixed,94472,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1363.0,2.0,5
71,2,5:92155,mixed,92155,hotpotqa,6,0.75,2.5,2.3333333333333335,1.0,2.5,1549.0,3.5,5
71,2,5:90972,mixed,90972,hotpotqa,4,0.5,2.0,2.0,0.0,2.0,1275.125,3.0,5
71,2,5:47119,mixed,47119,nq,1,0.125,1.0,1.0,0.0,2.0,1196.25,2.0,5
71,2,5:123875,mixed,123875,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1270.0,2.0,5
71,2,5:118479,mixed,118479,hotpotqa,7,0.875,3.0,3.0,0.0,3.0,1910.375,4.0,5
71,2,6:145207,mixed,145207,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1272.375,2.0,6
71,2,6:71729,mixed,71729,nq,7,0.875,1.0,1.0,0.0,2.0,1360.75,2.0,6
71,2,6:134695,mixed,134695,hotpotqa,1,0.125,1.25,3.0,0.0,1.25,869.0,2.25,6
71,2,7:27257,mixed,27257,nq,7,0.875,1.0,1.0,0.0,2.0,1333.875,2.0,7
71,2,7:150225,mixed,150225,hotpotqa,4,0.5,1.0,1.0,0.0,2.0,1297.5,2.0,7
71,2,7:150541,mixed,150541,hotpotqa,7,0.875,1.0,1.0,0.0,2.0,1315.875,2.0,7
71,2,0:73273,efficiency,73273,nq,8,1.0,1.875,1.875,1.0,2.875,1799.875,2.875,0
71,2,0:133097,efficiency,133097,hotpotqa,8,1.0,1.875,1.875,1.0,1.875,1192.5,2.875,0
71,3,0:151196,mixed,151196,hotpotqa,2,0.25,1.0,1.0,0.0,2.0,1383.75,2.0,0
71,3,0:35710,mixed,35710,nq,2,0.25,3.375,2.5,1.0,3.375,1920.75,4.375,0
71,3,0:104989,mixed,104989,hotpotqa,1,0.125,2.25,2.0,0.0,3.25,1986.875,3.25,0
71,3,1:104900,mixed,104900,hotpotqa,2,0.25,2.75,2.0,0.0,2.75,1994.5,3.75,1
71,3,1:98963,mixed,98963,hotpotqa,2,0.25,3.0,3.0,0.0,4.0,2178.5,4.0,1
71,3,2:3150,mixed,3150,nq,6,0.75,1.0,1.0,0.0,1.0,709.75,2.0,2
71,3,2:6362,mixed,6362,nq,7,0.875,1.0,1.0,0.0,1.125,716.0,2.0,2
71,3,2:117164,mixed,117164,hotpotqa,3,0.375,1.625,2.6666666666666665,1.0,2.25,1455.5,2.625,2
71,3,2:89516,mixed,89516,hotpotqa,4,0.5,1.0,1.0,0.0,3.0,1805.375,2.0,2
71,3,2:43616,mixed,43616,nq,1,0.125,2.0,2.0,0.0,3.0,1858.125,3.0,2
71,3,3:107296,mixed,107296,hotpotqa,6,0.75,1.75,2.0,0.0,2.75,1871.5,2.75,3
71,3,3:39092,mixed,39092,nq,7,0.875,1.0,1.0,0.0,2.0,1435.875,2.0,3
71,3,3:82068,mixed,82068,hotpotqa,3,0.375,2.0,2.0,0.0,2.0,1356.75,3.0,3
71,3,3:34954,mixed,34954,nq,3,0.375,2.375,3.0,0.0,3.375,2033.875,3.375,3
