global_step,generation_batches_consumed,candidate_groups_seen,mixed_groups_available,efficiency_groups_available,retained_mixed_groups,efficiency_cache_count,optimizer_batch_size,stopping_reached,selected_group_ids,source_nq,source_hotpotqa,mean_k_over_8,mean_search_rounds,mean_search_queries,mean_response_tokens
71,9,1440,32,7,32,7,32,True,0:151196|0:35710|0:104989|1:104900|1:98963|2:3150|2:6362|2:117164|2:89516|2:43616|3:107296|3:39092|3:82068|3:34954|3:118752|4:62624|4:42674|5:59899|5:94472|5:92155|5:90972|5:47119|5:123875|5:118479|6:145207|6:71729|6:134695|7:27257|7:150225|7:150541|7:114|8:58083,14,18,0.50390625,1.6015625,2.28125,1459.70703125
72,13,2080,32,6,32,6,32,True,9:20175|9:9445|10:113621|10:80994|10:92212|10:108478|11:153941|11:97224|11:140248|11:100955|12:104543|12:155626|12:92977|13:2048|13:101930|14:28652|14:111955|15:111790|15:114997|15:30956|16:16512|17:165808|17:122923|18:59584|18:150928|19:139695|19:92791|19:149023|20:41190|20:28252|20:136802|21:126182,9,23,0.55078125,2.21875,2.9921875,1827.90234375
73,12,1920,32,9,32,9,32,True,22:148342|22:131622|22:55005|22:20298|22:17527|22:3685|23:95885|23:96244|24:63524|25:126257|25:77909|26:62234|26:107329|27:86925|27:82950|27:67650|27:167093|27:162776|27:99752|28:123552|29:128742|29:9021|30:45634|30:42702|30:131175|31:154388|32:134893|32:117348|32:134816|32:10978|33:70520|33:11484,14,18,0.56640625,1.87109375,2.4609375,1540.08203125
74,10,1600,32,8,32,8,32,True,34:77894|34:157261|34:154606|34:156100|36:127028|36:151094|36:89137|36:27205|37:3823|37:109264|38:78002|38:23719|38:104204|39:166689|39:130768|39:139319|40:128664|40:121303|40:147167|41:84690|41:25107|41:147171|41:62859|41:115871|42:29642|42:29451|42:98027|42:138819|42:136176|42:113763|43:134676|43:158762,9,23,0.51171875,1.95703125,2.5234375,1597.8515625
75,10,1600,32,6,32,6,32,True,44:133448|44:120444|44:81168|44:34177|44:153559|44:49178|44:45449|45:30453|46:101555|46:80505|48:46008|48:65598|48:53908|48:95595|49:117577|49:19621|49:83709|49:7950|50:19217|50:159914|50:77508|50:100873|50:30091|50:160905|51:19865|51:161679|51:16538|52:36051|53:16567|53:93853|53:57343|53:110148,17,15,0.53515625,1.76953125,2.4453125,1535.94140625
76,13,2080,32,7,32,7,32,True,54:81015|54:24085|55:83825|55:164379|56:5654|56:35604|56:143400|56:132869|56:86942|56:36990|56:104735|56:153153|57:112329|57:89827|57:109808|58:58841|58:59429|59:130032|59:30897|61:127766|61:101220|61:2183|61:130006|61:151476|62:109556|63:128711|63:132276|64:164525|64:11964|66:38101|66:151053|66:73529,11,21,0.41015625,2.1640625,2.8046875,1775.25
77,11,1760,32,8,32,8,32,True,67:11317|67:55141|68:136717|69:41811|69:52920|69:28900|69:93359|70:6818|70:84095|70:161316|70:137672|70:130065|70:119028|71:140094|71:66554|71:163112|72:66195|72:145190|72:158672|72:50472|72:107710|72:44194|73:80953|73:143072|74:105514|74:58504|74:15109|75:103833|75:45640|76:21071|76:50002|77:90102,15,17,0.5,1.8359375,2.6171875,1632.9921875
78,8,1280,32,5,32,5,32,True,78:37976|78:43940|78:66885|78:105451|79:17445|80:134071|80:46795|80:119909|80:81931|80:92670|80:146156|81:53460|81:3645|81:146429|81:90167|82:167273|82:14946|82:35217|82:124781|82:87281|82:112222|83:65440|83:96743|83:145852|84:151892|84:11302|84:44441|84:158052|85:13953|85:102521|85:166436|85:98863,13,19,0.46484375,2.203125,2.77734375,1743.875
79,10,1600,32,7,32,7,32,True,86:167265|86:76214|87:145288|88:133649|88:7462|88:36279|88:95756|89:32042|90:47028|90:91379|90:67684|90:106577|90:105013|90:31865|91:80372|91:156681|91:143616|91:33552|92:52777|92:132611|92:124976|92:108383|92:129117|93:10578|93:108043|93:153787|93:39137|94:113394|94:141369|94:130606|94:84835|95:88118,11,21,0.51171875,1.82421875,2.41796875,1575.67578125
80,11,1760,32,5,32,5,32,True,96:65654|97:30723|97:26842|97:157641|97:48805|97:127870|98:145508|98:9927|99:50856|99:158817|99:7796|100:134671|100:19311|100:10409|100:159942|100:35315|100:5689|101:22296|101:125903|101:24235|102:88163|103:12760|103:101345|104:18295|104:28877|104:95394|105:150588|105:132506|105:165573|106:81634|106:112865|106:158888,16,16,0.5234375,1.64453125,2.3984375,1517.60546875
