global_step,q,generation_batches_consumed,candidate_groups_seen,mixed_groups_available,efficiency_groups_available,requested_quota,actual_efficiency_groups_inserted,mixed_groups_used,mixed_groups_replaced,quota_filled,optimizer_batch_size,source_nq,source_hotpotqa,mean_k_over_8,mean_search_rounds,mean_search_queries,mean_response_tokens,efficiency_source_nq,efficiency_source_hotpotqa,replaced_mean_k_over_8,replaced_mean_search_rounds,replaced_mean_tokens,inserted_mean_cost_gap
71,0,9,1440,32,7,0,0,32,0,True,32,14,18,0.50390625,1.6015625,2.28125,1459.70703125,0,0,,,,
71,1,9,1440,32,7,1,1,31,1,True,32,14,18,0.51953125,1.62890625,2.30859375,1475.90625,1,0,0.5,1.0,1281.5,1.0
71,2,9,1440,32,7,2,2,30,2,True,32,13,19,0.53125,1.65625,2.3046875,1474.90625,1,1,0.5625,1.0,1253.0,1.0
71,3,9,1440,32,7,3,3,29,3,True,32,14,18,0.53515625,1.67578125,2.32421875,1484.53515625,2,1,0.6666666666666666,1.0,1273.9583333333333,1.0
71,4,9,1440,32,7,4,4,28,4,True,32,14,18,0.55078125,1.68359375,2.30078125,1473.33984375,2,2,0.625,1.0,1279.84375,1.0
72,0,13,2080,32,6,0,0,32,0,True,32,9,23,0.55078125,2.21875,2.9921875,1827.90234375,0,0,,,,
72,1,13,2080,32,6,1,1,31,1,True,32,9,23,0.5625,2.1640625,2.96875,1812.3984375,0,1,0.625,3.5,2011.0,2.0
72,2,13,2080,32,6,2,2,30,2,True,32,9,23,0.56640625,2.16796875,2.97265625,1820.828125,0,2,0.75,3.0,1791.5,1.5
72,3,13,2080,32,6,3,3,29,3,True,32,8,24,0.5703125,2.203125,2.9765625,1821.0078125,0,3,0.7916666666666666,2.3333333333333335,1623.7083333333333,1.3333333333333333
72,4,13,2080,32,6,4,4,28,4,True,32,7,25,0.58203125,2.16015625,2.93359375,1802.703125,0,4,0.75,2.53125,1655.59375,1.25
73,0,12,1920,32,9,0,0,32,0,True,32,14,18,0.56640625,1.87109375,2.4609375,1540.08203125,0,0,,,,
73,1,12,1920,32,9,1,1,31,1,True,32,13,19,0.5703125,1.875,2.43359375,1528.88671875,0,1,0.875,1.0,1196.0,1.0
73,2,12,1920,32,9,2,2,30,2,True,32,12,20,0.59765625,1.8359375,2.421875,1519.5390625,0,2,0.5,1.9375,1604.9375,1.0
73,3,12,1920,32,9,3,3,29,3,True,32,12,20,0.60546875,1.6953125,2.28125,1455.25390625,1,2,0.5833333333333334,3.2083333333333335,2087.3333333333335,1.0
73,4,12,1920,32,9,4,4,28,4,True,32,12,20,0.61328125,1.76171875,2.31640625,1474.6484375,1,3,0.625,2.65625,1872.03125,1.0
74,0,10,1600,32,8,0,0,32,0,True,32,9,23,0.51171875,1.95703125,2.5234375,1597.8515625,0,0,,,,
74,1,10,1600,32,8,1,1,31,1,True,32,9,23,0.5390625,1.98046875,2.5546875,1609.87109375,0,1,0.125,2.125,1586.875,1.0
74,2,10,1600,32,8,2,2,30,2,True,32,10,22,0.56640625,1.921875,2.46484375,1560.4765625,1,1,0.125,2.5625,1971.5625,1.0
74,3,10,1600,32,8,3,3,29,3,True,32,11,21,0.57421875,1.96875,2.52734375,1590.40625,2,1,0.3333333333333333,2.375,1775.7916666666667,1.3333333333333333
74,4,10,1600,32,8,4,4,28,4,True,32,11,21,0.578125,1.99609375,2.5859375,1623.0546875,2,2,0.46875,2.28125,1648.34375,1.25
75,0,10,1600,32,6,0,0,32,0,True,32,17,15,0.53515625,1.76953125,2.4453125,1535.94140625,0,0,,,,
75,1,10,1600,32,6,1,1,31,1,True,32,18,14,0.5625,1.75,2.42578125,1527.2578125,1,0,0.125,2.125,1370.875,1.0
75,2,10,1600,32,6,2,2,30,2,True,32,17,15,0.56640625,1.7890625,2.46484375,1557.921875,1,1,0.5,1.5625,1311.0625,1.0
75,3,10,1600,32,6,3,3,29,3,True,32,18,14,0.5859375,1.80078125,2.46484375,1555.59765625,2,1,0.4583333333333333,1.375,1202.4583333333333,1.0
75,4,10,1600,32,6,4,4,28,4,True,32,17,15,0.61328125,1.8046875,2.4375,1543.7734375,2,2,0.375,1.28125,1347.6875,1.0
76,0,13,2080,32,7,0,0,32,0,True,32,11,21,0.41015625,2.1640625,2.8046875,1775.25,0,0,,,,
76,1,13,2080,32,7,1,1,31,1,True,32,10,22,0.42578125,2.16796875,2.81640625,1779.9609375,0,1,0.5,2.0,1378.0,1.0
76,2,13,2080,32,7,2,2,30,2,True,32,10,22,0.4453125,2.13671875,2.81640625,1779.9375,0,2,0.4375,2.0625,1372.9375,1.0
76,3,13,2080,32,7,3,3,29,3,True,32,10,22,0.44921875,2.109375,2.7265625,1730.5234375,1,2,0.5833333333333334,2.5416666666666665,2012.4166666666667,1.0
76,4,13,2080,32,7,4,4,28,4,True,32,9,23,0.45703125,2.125,2.7265625,1726.4375,1,3,0.625,2.15625,1856.625,1.0
77,0,11,1760,32,8,0,0,32,0,True,32,15,17,0.5,1.8359375,2.6171875,1632.9921875,0,0,,,,
77,1,11,1760,32,8,1,1,31,1,True,32,15,17,0.51171875,1.81640625,2.56640625,1608.01171875,0,1,0.625,2.0,1799.125,1.0
77,2,11,1760,32,8,2,2,30,2,True,32,14,18,0.5234375,1.859375,2.578125,1615.7734375,0,2,0.625,1.5,1566.5625,1.0
77,3,11,1760,32,8,3,3,29,3,True,32,14,18,0.53515625,1.84765625,2.59765625,1636.5546875,1,2,0.625,1.6666666666666667,1457.25,1.0
77,4,11,1760,32,8,4,4,28,4,True,32,13,19,0.5625,1.93359375,2.62109375,1653.80859375,1,3,0.5,1.5,1549.625,1.25
78,0,8,1280,32,5,0,0,32,0,True,32,13,19,0.46484375,2.203125,2.77734375,1743.875,0,0,,,,
78,1,8,1280,32,5,1,1,31,1,True,32,13,19,0.47265625,2.10546875,2.6796875,1694.5703125,0,1,0.75,4.5,3246.0,1.0
78,2,8,1280,32,5,2,2,30,2,True,32,14,18,0.4921875,2.03515625,2.60546875,1667.09765625,1,1,0.5625,4.0625,2571.0625,1.0
78,3,8,1280,32,5,3,3,29,3,True,32,14,18,0.51953125,2.07421875,2.6171875,1684.63671875,1,2,0.4166666666666667,3.0416666666666665,2062.9583333333335,1.0
78,4,8,1280,32,5,4,4,28,4,True,32,14,18,0.5234375,2.0859375,2.59765625,1678.328125,2,2,0.53125,2.53125,1994.65625,1.0
79,0,10,1600,32,7,0,0,32,0,True,32,11,21,0.51171875,1.82421875,2.41796875,1575.67578125,0,0,,,,
79,1,10,1600,32,7,1,1,31,1,True,32,11,21,0.515625,1.890625,2.484375,1607.6171875,0,1,0.875,1.625,1518.0,2.0
79,2,10,1600,32,7,2,2,30,2,True,32,11,21,0.51953125,1.88671875,2.4765625,1601.59765625,0,2,0.875,1.4375,1530.625,1.5
79,3,10,1600,32,7,3,3,29,3,True,32,12,20,0.5234375,1.875,2.46484375,1595.9765625,1,2,0.875,1.625,1479.125,1.3333333333333333
79,4,10,1600,32,7,4,4,28,4,True,32,12,20,0.52734375,1.89453125,2.48828125,1609.4296875,1,3,0.875,1.53125,1431.75,1.25
80,0,11,1760,32,5,0,0,32,0,True,32,16,16,0.5234375,1.64453125,2.3984375,1517.60546875,0,0,,,,
80,1,11,1760,32,5,1,1,31,1,True,32,16,16,0.55078125,1.62109375,2.28125,1449.625,0,1,0.125,2.0,3076.125,1.0
80,2,11,1760,32,5,2,2,30,2,True,32,16,16,0.5546875,1.640625,2.26953125,1444.76953125,0,2,0.5,1.5,2161.8125,1.0
80,3,11,1760,32,5,3,3,29,3,True,32,16,16,0.58203125,1.63671875,2.23828125,1424.015625,0,3,0.375,1.6666666666666667,2057.2083333333335,1.0
80,4,11,1760,32,5,4,4,28,4,True,32,17,15,0.5859375,1.609375,2.203125,1402.19140625,1,3,0.5,1.78125,2031.25,1.0
81,0,12,1920,32,8,0,0,32,0,True,32,19,13,0.4453125,2.1796875,2.87890625,1741.8828125,0,0,,,,
81,1,12,1920,32,8,1,1,31,1,True,32,19,13,0.44921875,2.09375,2.79296875,1686.86328125,1,0,0.875,4.0,2650.625,1.0
81,2,12,1920,32,8,2,2,30,2,True,32,19,13,0.4609375,2.140625,2.8515625,1707.80078125,2,0,0.75,2.5,1862.8125,1.5
81,3,12,1920,32,8,3,3,29,3,True,32,19,13,0.46484375,2.1484375,2.828125,1695.48828125,2,1,0.7916666666666666,2.0,1675.625,1.3333333333333333
81,4,12,1920,32,8,4,4,28,4,True,32,19,13,0.4921875,2.17578125,2.82421875,1692.0234375,2,2,0.625,1.75,1582.3125,1.25
82,0,11,1760,32,11,0,0,32,0,True,32,14,18,0.39453125,2.05078125,2.65625,1668.94921875,0,0,,,,
82,1,11,1760,32,11,1,1,31,1,True,32,14,18,0.41796875,2.0546875,2.62890625,1651.71875,1,0,0.25,1.0,1291.0,1.0
82,2,11,1760,32,11,2,2,30,2,True,32,14,18,0.44140625,2.03515625,2.578125,1608.6796875,1,1,0.25,2.0,2093.375,1.0
82,3,11,1760,32,11,3,3,29,3,True,32,14,18,0.4453125,2.01171875,2.5546875,1602.23828125,1,2,0.4583333333333333,2.0,2007.5416666666667,1.3333333333333333
82,4,11,1760,32,11,4,4,28,4,True,32,14,18,0.47265625,1.96875,2.54296875,1602.31640625,1,3,0.375,2.25,1927.6875,1.25
83,0,14,2240,32,5,0,0,32,0,True,32,11,21,0.51953125,1.94140625,2.58984375,1654.28125,0,0,,,,
83,1,14,2240,32,5,1,1,31,1,True,32,10,22,0.52734375,1.91015625,2.58984375,1658.41796875,0,1,0.75,2.75,1550.5,1.0
83,2,14,2240,32,5,2,2,30,2,True,32,10,22,0.53515625,1.9140625,2.5625,1620.640625,0,2,0.75,2.9375,2354.9375,1.0
83,3,14,2240,32,5,3,3,29,3,True,32,9,23,0.546875,2.0078125,2.65625,1676.3984375,0,3,0.7083333333333334,2.2916666666666665,1816.5416666666667,2.0
83,4,14,2240,32,5,4,4,28,4,True,32,10,22,0.56640625,1.9921875,2.671875,1677.078125,1,3,0.625,2.21875,1729.21875,1.75
84,0,10,1600,32,7,0,0,32,0,True,32,16,16,0.4765625,2.06640625,2.6875,1675.390625,0,0,,,,
84,1,10,1600,32,7,1,1,31,1,True,32,15,17,0.49609375,2.08984375,2.7109375,1699.6015625,0,1,0.375,1.375,1523.5,1.0
84,2,10,1600,32,7,2,2,30,2,True,32,14,18,0.51171875,2.12109375,2.7109375,1698.1328125,0,2,0.4375,1.1875,1656.25,1.5
84,3,10,1600,32,7,3,3,29,3,True,32,14,18,0.5234375,2.046875,2.57421875,1623.51953125,0,3,0.5,2.2916666666666665,2358.4583333333335,1.3333333333333333
84,4,10,1600,32,7,4,4,28,4,True,32,14,18,0.5390625,2.06640625,2.5625,1614.4140625,0,4,0.5,1.96875,2100.96875,1.25
85,0,11,1760,32,10,0,0,32,0,True,32,14,18,0.59375,1.75390625,2.55859375,1606.92578125,0,0,,,,
85,1,11,1760,32,10,1,1,31,1,True,32,14,18,0.609375,1.76953125,2.60546875,1631.51953125,0,1,0.5,1.0,1319.0,1.0
85,2,11,1760,32,10,2,2,30,2,True,32,15,17,0.61328125,1.734375,2.6015625,1617.5,1,1,0.6875,2.0,1782.375,1.0
85,3,11,1760,32,10,3,3,29,3,True,32,14,18,0.63671875,1.77734375,2.64453125,1655.125,1,2,0.5416666666666666,1.6666666666666667,1568.5833333333333,1.0
85,4,11,1760,32,10,4,4,28,4,True,32,15,17,0.65625,1.79296875,2.62890625,1645.43359375,2,2,0.5,1.5,1518.09375,1.0
86,0,12,1920,32,9,0,0,32,0,True,32,19,13,0.515625,1.58203125,2.36328125,1496.80078125,0,0,,,,
